county,Number of ELI HHs surveyed,Unweighted ELI obs < 10,State Name,County Name,Housing gap,Total ELI renters,Number of HUD asst units,Housing gap (asst off),Units per 100 renters,Units per 100 renters (asst off),AAA units,AAA units (asst off),Total Population 2013,"AAA units (asst off, no neg)"
National,93896,0,,,7881498,10985956,2538742,10420240,28.25842376,5.149447167,3104458,565716,,565716
1001,11.90263406,0,Alabama,Autauga County,959.6923801,1357.580433,146,1105.69238,29.30861723,18.55418998,397.8880527,251.8880527,,251.8880527
1003,29,0,Alabama,Baldwin County,2529,4325,491,3020,41.52601156,30.17341041,1796,1305,195540,1305
1005,8.476091248,1,Alabama,Barbour County,401.2451195,785.668458,405,806.2451195,48.92946058,0,384.4233385,-20.57666155,,0
1007,5.530071201,1,Alabama,Bibb County,441.4840176,652.9580367,82,523.4840176,32.38707654,19.82884226,211.4740191,129.4740191,,129.4740191
1009,6.62456946,1,Alabama,Blount County,392.836969,721.4156142,267,659.836969,45.54637282,8.535807102,328.5786452,61.57864524,,61.57864524
1011,2.630511077,1,Alabama,Bullock County,124.5243474,243.8281421,178,302.5243474,48.92946058,0,119.3037947,-58.69620531,,0
1013,10.69214437,0,Alabama,Butler County,462.6579972,764.9338287,211,673.6579972,39.51659872,11.93251339,302.2758316,91.27583156,,91.27583156
1015,43,0,Alabama,Calhoun County,3832,6088,1118,4950,37.0565046,18.69250986,2256,1138,116736,1138
1017,11.80474934,0,Alabama,Chambers County,886.0939974,1444.237302,269,1155.093997,38.64623244,20.02048447,558.1433048,289.1433048,,289.1433048
1019,6.066531087,1,Alabama,Cherokee County,488.1961069,823.2921267,122,610.1961069,40.7019585,25.88340309,335.0960198,213.0960198,,213.0960198
1021,8.949868074,1,Alabama,Chilton County,671.7994723,1094.960422,123,794.7994723,38.64623244,27.41294971,423.1609499,300.1609499,,300.1609499
1023,3.453843026,1,Alabama,Choctaw County,171.2379016,335.3257422,1,172.2379016,48.93386339,48.6356459,164.0878406,163.0878406,,163.0878406
1025,11.04534364,0,Alabama,Clarke County,547.6165108,1072.367222,79,626.6165108,48.93386339,41.56698399,524.7507117,445.7507117,,445.7507117
1027,2.268739105,1,Alabama,Clay County,182.5737943,307.891778,154,336.5737943,40.7019585,0,125.3179837,-28.68201627,,0
1029,2.158338176,1,Alabama,Cleburne County,173.6894248,292.9092098,62,235.6894248,40.7019585,19.53499006,119.219785,57.21978501,,57.21978501
1031,19.65180467,0,Alabama,Coffee County,850.3499646,1405.922859,406,1256.349965,39.51659872,10.63876966,555.5728946,149.5728946,,149.5728946
1033,15.5082358,0,Alabama,Colbert County,976.1729519,1720.004335,655,1631.172952,43.24590164,5.164602261,743.8313828,88.83138275,,88.83138275
1035,6.154331029,1,Alabama,Conecuh County,305.1252542,597.5099634,170,475.1252542,48.93386339,20.48245498,292.3847092,122.3847092,,122.3847092
1037,1.366754617,1,Alabama,Coosa County,102.5920185,167.2138852,1,103.5920185,38.64623244,38.04819598,64.62186676,63.62186676,,63.62186676
1039,12.81528662,0,Alabama,Covington County,554.5281316,916.8269639,271,825.5281316,39.51659872,9.958131236,362.2988323,91.29883227,,91.29883227
1041,4.840764331,1,Alabama,Crenshaw County,209.4639066,346.3163482,209,418.4639066,39.51659872,0,136.8524416,-72.14755839,,0
1043,18.46909628,0,Alabama,Cullman County,1094.494706,2053.281704,341,1435.494706,46.69534611,30.08778567,958.7869983,617.7869983,80811,617.7869983
1045,32.65660413,0,Alabama,Dale County,1034.68403,1722.705647,534,1568.68403,39.93843163,8.94068103,688.021617,154.021617,,154.021617
1047,25.26162703,0,Alabama,Dallas County,2016.719891,2982.743221,994,3010.719891,32.38707654,0,966.0233298,-27.9766702,,0
1049,13.00203725,0,Alabama,DeKalb County,546.0855646,1305.924622,409,955.0855646,58.18399044,26.86518435,759.839057,350.839057,71013,350.839057
1051,15.06349953,0,Alabama,Elmore County,1214.548448,1718.099718,132,1346.548448,29.30861723,21.62571044,503.55127,371.55127,80902,371.55127
1053,19.91175275,0,Alabama,Escambia County,987.2037414,1933.186661,190,1177.203741,48.93386339,39.10553156,945.9829199,755.9829199,,755.9829199
1055,25,0,Alabama,Etowah County,1328,2382,900,2228,44.24853065,6.465155332,1054,154,103931,154
1057,6.413043478,1,Alabama,Fayette County,241.451087,670.8043478,171,412.451087,64.00573614,38.51395145,429.3532609,258.3532609,,258.3532609
1059,7.557433897,1,Alabama,Franklin County,475.7061118,838.1881231,374,849.7061118,43.24590164,0,362.4820113,-11.51798873,,0
1061,12.55680411,0,Alabama,Geneva County,397.8467765,662.3982478,250,647.8467765,39.93843163,2.196785897,264.5514713,14.55147129,,14.55147129
1063,2.503257082,1,Alabama,Greene County,199.8433571,295.5697622,169,368.8433571,32.38707654,0,95.72640509,-73.27359491,,0
1065,3.411301318,1,Alabama,Hale County,272.3355552,402.7862445,105,377.3355552,32.38707654,6.318659,130.4506893,25.45068929,,25.45068929
1067,5.270069517,1,Alabama,Henry County,166.9756214,278.0074279,118,284.9756214,39.93843163,0,111.0318065,-6.968193505,,0
1069,66.51652224,0,Alabama,Houston County,2107.493572,3508.888677,999,3106.493572,39.93843163,11.46787893,1401.395105,402.3951052,103668,402.3951052
1071,11.99796275,0,Alabama,Jackson County,503.9144354,1205.075378,363,866.9144354,58.18399044,28.06139342,701.160943,338.160943,,338.160943
1073,241,0,Alabama,Jefferson County,19668,30341,10398,30066,35.17682344,0.906364326,10673,275,659479,275
1075,4.64673913,1,Alabama,Lamar County,174.9497283,486.048913,194,368.9497283,64.00573614,24.09205774,311.0991848,117.0991848,,117.0991848
1077,30.45026008,0,Alabama,Lauderdale County,1916.705462,3377.210663,996,2912.705462,43.24590164,13.75410799,1460.505202,464.5052016,92797,464.5052016
1079,4.458221024,1,Alabama,Lawrence County,302.8803908,526.6273585,156,458.8803908,42.48677249,12.86430843,223.7469677,67.74696766,,67.74696766
1081,48,0,Alabama,Lee County,5970,7547,1025,6995,20.89572015,7.314164569,1577,552,150933,552
1083,18.4857662,0,Alabama,Limestone County,1093.741167,2642.848375,529,1622.741167,58.61506179,38.59877916,1549.107208,1020.107208,88845,1020.107208
1085,1.860301035,1,Alabama,Lowndes County,149.9934149,212.1806209,148,297.9934149,29.30861723,0,62.18720602,-85.81279398,,0
1087,8.832529063,1,Alabama,Macon County,418.1183374,818.7075017,458,876.1183374,48.92946058,0,400.5891643,-57.41083571,,0
1089,103.9965226,0,Alabama,Madison County,9428.523138,13433.49223,2396,11824.52314,29.81331302,11.9772957,4004.969087,1608.969087,346892,1608.969087
1091,6.716255113,1,Alabama,Marengo County,536.1810332,793.0156037,228,764.1810332,32.38707654,3.636065972,256.8345705,28.83457052,,28.83457052
1093,9.772113699,1,Alabama,Marion County,405.4603116,1031.526227,405,810.4603116,60.69316504,21.4309544,626.0659153,221.0659153,,221.0659153
1095,54.51771117,0,Alabama,Marshall County,1078.735695,2786.659401,1010,2088.735695,61.28928801,25.04517436,1707.923706,697.9237057,94760,697.9237057
1097,117,0,Alabama,Mobile County,10960,14509,6158,17118,24.46067958,0,3549,-2609,414079,0
1099,9.5849939,1,Alabama,Monroe County,475.2139081,930.5851972,138,613.2139081,48.93386339,34.10448502,455.3712891,317.3712891,,317.3712891
1101,95.17356538,0,Alabama,Montgomery County,8636.765757,12116.13923,3120,11756.76576,28.71684953,2.96607248,3479.373471,359.3734713,226659,359.3734713
1103,27.54177898,0,Alabama,Morgan County,1871.119609,3253.372642,820,2691.119609,42.48677249,17.28215899,1382.253032,562.2530324,119787,562.2530324
1105,3.313134374,1,Alabama,Perry County,264.4985608,391.1952734,158,422.4985608,32.38707654,0,126.6967126,-31.30328738,,0
1107,7.184434536,1,Alabama,Pickens County,311.6676125,565.5176328,211,522.6676125,44.88808228,7.577132486,253.8500203,42.85002027,,42.85002027
1109,18.47060759,0,Alabama,Pike County,874.370147,1712.083242,455,1329.370147,48.92946058,22.35364996,837.713095,382.713095,,382.713095
1111,5.807088902,1,Alabama,Randolph County,467.3178385,788.0830912,98,565.3178385,40.7019585,28.26672152,320.7652528,222.7652528,,222.7652528
1113,26.59026102,0,Alabama,Russell County,1258.742049,2464.712656,853,2111.742049,48.92946058,14.32096381,1205.970608,352.9706076,,352.9706076
1115,13.37543054,0,Alabama,St. Clair County,793.163031,1456.584386,184,977.163031,45.54637282,32.91408033,663.4213548,479.4213548,86308,479.4213548
1117,15,0,Alabama,Shelby County,1710,2283,293,2003,25.09855453,12.26456417,573,280,204180,280
1119,7.264353886,1,Alabama,Sumter County,579.9375852,857.7318588,280,859.9375852,32.38707654,0,277.7942736,-2.205726405,,0
1121,21.69930273,0,Alabama,Talladega County,1746.222836,2944.823794,896,2642.222836,40.7019585,10.27568982,1198.600959,302.6009587,81096,302.6009587
1123,9.878627968,1,Alabama,Tallapoosa County,741.5145119,1208.588391,415,1156.514512,38.64623244,4.308652891,467.0738786,52.07387863,,52.07387863
1125,63.81556546,0,Alabama,Tuscaloosa County,5053.332388,7052.482367,2248,7301.332388,28.34675616,0,1999.14998,-248.8500203,200821,0
1127,20.65217391,0,Alabama,Walker County,777.5543478,2160.217391,544,1321.554348,64.00573614,38.82308544,1382.663044,838.6630435,65998,838.6630435
1129,2.619357462,1,Alabama,Washington County,129.8649858,254.3074421,22,151.8649858,48.93386339,40.28291719,124.4424563,102.4424563,,102.4424563
1131,4.230378203,1,Alabama,Wilcox County,209.7376983,410.7177715,76,285.7376983,48.93386339,30.42967261,200.9800732,124.9800732,,124.9800732
1133,4.530903718,1,Alabama,Winston County,268.5052943,503.718296,211,479.5052943,46.69534611,4.806853735,235.2130017,24.21300172,,24.21300172
2013,0.666466527,1,Alaska,Aleutians East Borough,11.33893726,21.30891624,,11.33893726,46.78782756,46.78782756,9.969978985,9.969978985,,9.969978985
2016,3.199039328,1,Alaska,Aleutians West Census Area,54.42689883,102.282798,,54.42689883,46.78782756,46.78782756,47.85589913,47.85589913,,47.85589913
2020,25,0,Alaska,Anchorage Municipality,3664,5651,2020,5684,35.16191825,0,1987,-33,300950,0
2050,8.26418493,1,Alaska,Bethel Census Area,140.602822,264.2305614,71,211.602822,46.78782756,19.91735518,123.6277394,52.62773942,,52.62773942
2060,0.644250976,1,Alaska,Bristol Bay Borough,10.96097268,20.59861903,,10.96097268,46.78782756,46.78782756,9.637646352,9.637646352,,9.637646352
2068,0.082017071,1,Alaska,Denali Borough,4.790542529,8.533503385,,4.790542529,43.86194845,43.86194845,3.742960856,3.742960856,,3.742960856
