l30_4,county,Total,countyname,usda,state_flag,hud,units,Units_no_usda,Per100_No_USDA,Units_No_HUD,Per100_No_HUD,USDAper100,hudper100,per100,ST_Total,ST_Unitsnoasst,ST_per100_No_Assisted,ST_usda,ST_Units_no_USDA,ST_Per100_No_USDA,ST_hud,ST_Units,ST_Units_No_HUD,ST_per100,ST_per100_No_HUD,ST_USDAper100,ST_Hudper100,MinEli,MaxEli,State_Name,Unitsnoasst,per100_no_assisted
23850,01061,1027.7159058,Geneva County,45,0,271,726.05092412,681.05092412,66.268403581,455.05092412,44.277890568,4.3786419716,26.369154985,70.647045553,,,,,,,,,,,,,,,,Alabama,410.05092412,39.899248597
23850,01069,4465.1597683,Houston County,26,0,1071,3166.7391762,3140.7391762,70.33878605,2095.7391762,46.935368161,0.5822859953,23.985703885,70.921072045,,,,,,,,,,,,,,,,Alabama,2069.7391762,46.353082166
23850,01071,1891.4332765,Jackson County,354,0,367,1833.2049972,1479.2049972,78.205507723,1466.2049972,77.518198254,18.715965527,19.403274995,96.921473249,,,,,,,,,,,,,,,,Alabama,1112.2049972,58.802232727
23850,01073,31232,Jefferson County,121,0,10575,16855,16734,53.579661885,6280,20.107581967,0.3874231557,33.859503074,53.967085041,,,,,,,,,,,,,,,,Alabama,6159,19.720158811
23850,01077,4627.2498159,Lauderdale County,127,0,1060,3514.6498472,3387.6498472,73.210869999,2454.6498472,53.047705331,2.7446108391,22.907775508,75.955480838,,,,,,,,,,,,,,,,Alabama,2327.6498472,50.303094491
23850,01079,688.35756155,Lawrence County,107,0,146,393.94406297,286.94406297,41.685321554,247.94406297,36.019661412,15.544247057,21.209907199,57.22956861,,,,,,,,,,,,,,,,Alabama,140.94406297,20.475414355
23850,01081,8335.0724715,Lee County,16,0,1124,3104.0427024,3088.0427024,37.048780475,1980.0427024,23.755554725,0.1919599386,13.485185688,37.240740413,,,,,,,,,,,,,,,,Alabama,1964.0427024,23.563594787
23850,01083,2328.3470189,Limestone County,79,0,536,1292.4733599,1213.4733599,52.117375548,756.47335992,32.489717116,3.3929650244,23.020623457,55.510340573,,,,,,,,,,,,,,,,Alabama,677.47335992,29.096752091
23500,01087,1065.3015279,Macon County,98,0,480,783.50222462,685.50222462,64.348187498,303.50222462,28.489795298,9.1992733916,45.057665592,73.54746089,,,,,,,,,,,,,,,,Alabama,205.50222462,19.290521907
23850,01089,12776.56389,Madison County,1,0,2520,5436.4815882,5435.4815882,42.542593103,2916.4815882,22.826807062,0.0078268305,19.723612872,42.550419934,,,,,,,,,,,,,,,,Alabama,2915.4815882,22.818980231
23850,01091,1023.1769475,Marengo County,124,0,235,697.92124729,573.92124729,56.092081498,462.92124729,45.243518084,12.119115887,22.967679301,68.211197385,,,,,,,,,,,,,,,,Alabama,338.92124729,33.124402197
23500,01093,1341.4853078,Marion County,176,0,395,1041.7991223,865.79912233,64.540335799,646.79912233,48.215147686,13.119785881,29.444973994,77.66012168,,,,,,,,,,,,,,,,Alabama,470.79912233,35.095361806
23850,01095,3690.2499808,Marshall County,204,0,983,2817.9822658,2613.9822658,70.834829058,1834.9822658,49.725148033,5.528080782,26.637761808,76.36290984,,,,,,,,,,,,,,,,Alabama,1630.9822658,44.197067251
23850,01097,18025,Mobile County,254,0,6047,9775,9521,52.821081831,3728,20.682385576,1.4091539528,33.547850208,54.230235784,,,,,,,,,,,,,,,,Alabama,3474,19.273231623
23500,01099,934.8987842,Monroe County,89,0,143,689.52190894,600.52190894,64.233895592,546.52190894,58.457869255,9.519747111,15.295773448,73.753642703,,,,,,,,,,,,,,,,Alabama,457.52190894,48.938122144
23850,01101,12537.982097,Montgomery County,0,0,2998,5454.9676815,5454.9676815,43.50754084,2456.9676815,19.596197079,0,23.911343761,43.50754084,,,,,,,,,,,,,,,,Alabama,2456.9676815,19.596197079
23850,01103,3924.6424385,Morgan County,54,0,859,2507.055937,2453.055937,62.503934447,1648.055937,41.992511748,1.3759215227,21.887344222,63.87985597,,,,,,,,,,,,,,,,Alabama,1594.055937,40.616590225
23500,01109,2240.6024194,Pike County,135,0,523,1603.8632969,1468.8632969,65.55662371,1080.8632969,48.239852263,6.0251653231,23.34193677,71.581789033,,,,,,,,,,,,,,,,Alabama,945.86329689,42.214686939
23650,01111,939.64775239,Randolph County,95,0,103,637.62048637,542.62048637,57.747223359,534.62048637,56.89584049,10.110171578,10.961554448,67.857394938,,,,,,,,,,,,,,,,Alabama,439.62048637,46.785668911
23850,01113,3201.8276265,Russell County,39,0,863,2133.1067656,2094.1067656,65.403482322,1270.1067656,39.668180609,1.2180543287,26.953356042,66.621536651,,,,,,,,,,,,,,,,Alabama,1231.1067656,38.45012628
23850,01115,2206.8918234,St. Clair County,58,0,191,1367.8772865,1309.8772865,59.353941711,1176.8772865,53.327366299,2.6281306308,8.6547060428,61.982072342,,,,,,,,,,,,,,,,Alabama,1118.8772865,50.699235668
23850,01117,3064,Shelby County,59,0,298,982,923,30.124020888,684,22.323759791,1.9255874674,9.725848564,32.049608355,,,,,,,,,,,,,,,,Alabama,625,20.398172324
23500,01121,4136.073692,Talladega County,296,0,943,2809.4266765,2513.4266765,60.76842106,1866.4266765,45.12556631,7.1565456045,22.799400355,67.924966665,,,,,,,,,,,,,,,,Alabama,1570.4266765,37.969020705
23850,01123,1568.7786296,Tallapoosa County,44,0,462,1034.1079051,990.10790511,63.11329632,572.10790511,36.468364262,2.8047296903,29.449661749,65.918026011,,,,,,,,,,,,,,,,Alabama,528.10790511,33.663634572
23850,01125,8384.8983051,Tuscaloosa County,0,0,2391,3742.0745763,3742.0745763,44.628741341,1351.0745763,16.113189774,0,28.515551567,44.628741341,,,,,,,,,,,,,,,,Alabama,1351.0745763,16.113189774
23850,01127,2418.6814971,Walker County,58,0,548,1959.6320075,1901.6320075,78.622671476,1411.6320075,58.363699776,2.3980007317,22.656972431,81.020672207,,,,,,,,,,,,,,,,Alabama,1353.6320075,55.965699045
23500,01133,824.6500379,Winston County,78,0,218,594.72712495,516.72712495,62.660171127,376.72712495,45.683272617,9.4585577414,26.435456252,72.118728869,,,,,,,,,,,,,,,,Alabama,298.72712495,36.224714876
23500,01011,,Bullock County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23500,01023,,Choctaw County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23500,01027,,Clay County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23500,01029,,Cleburne County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23500,01035,,Conecuh County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23850,01037,,Coosa County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23850,01041,,Crenshaw County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23500,01057,,Fayette County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23850,01063,,Greene County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23850,01065,,Hale County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23850,01067,,Henry County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23500,01075,,Lamar County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23850,01085,,Lowndes County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23500,01105,,Perry County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23500,01107,,Pickens County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23500,01119,,Sumter County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23850,01129,,Washington County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
23500,01131,,Wilcox County,,,,,,,,,,,,195052.8819,11945,6.1239802682,7073,59943,30.731665903,47998,67016,19018,34.357862005,9.7501763701,3.6261961019,24.607685635,23500,23850,Alabama,,
29820,02020,8451,Anchorage Municipality,41,0,1826,3682,3641,43.083658739,1856,21.961898,0.4851496864,21.606910425,43.568808425,,,,,,,,,,,,,,,,Alaska,1815,21.476748314
29820,02090,2772.8456242,Fairbanks North Star Borough,28,0,543,1260.7374778,1232.7374778,44.457486817,717.73747783,25.884509097,1.0097929634,19.582770684,45.46727978,,,,,,,,,,,,,,,,Alaska,689.73747783,24.874716133
29820,02110,770.23489561,Juneau City and Borough,34,0,497,498.87152162,464.87152162,60.354513184,1.8715216188,0.2429806322,4.4142378116,64.525770363,64.768750996,,,,,,,,,,,,,,,,Alaska,0,0
29820,02122,1358.8676443,Kenai Peninsula Borough,187,0,205,547.30480787,360.30480787,26.515077416,342.30480787,25.190445096,13.761457989,15.086090309,40.276535405,,,,,,,,,,,,,,,,Alaska,155.30480787,11.428987107
29820,02170,1846.1323557,Matanuska-Susitna Borough,384,0,235,708.69519213,324.69519213,17.587860975,473.69519213,25.658788259,20.800242129,12.729314845,38.388103104,,,,,,,,,,,,,,,,Alaska,89.695192129,4.8585461304
29820,02013,,Aleutians East Borough,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02016,,Aleutians West Census Area,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02050,,Bethel Census Area,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02060,,Bristol Bay Borough,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02068,,Denali Borough,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02070,,Dillingham Census Area,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02100,,Haines Borough,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02150,,Kodiak Island Borough,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02164,,Lake and Peninsula Borough,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02180,,Nome Census Area,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02185,,North Slope Borough,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02188,,Northwest Arctic Borough,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02220,,Sitka City and Borough,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02240,,Southeast Fairbanks Census Area,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02261,,Valdez-Cordova Census Area,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02270,,Wade Hampton Census Area,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02282,,Yakutat City and Borough,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02290,,Yukon-Koyukuk Census Area,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02290,,Yukon-Koyukuk Census Area,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02290,,Yukon-Koyukuk Census Area,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02290,,Yukon-Koyukuk Census Area,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02290,,Yukon-Koyukuk Census Area,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02290,,Yukon-Koyukuk Census Area,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
29820,02290,,Yukon-Koyukuk Census Area,,,,,,,,,,,,17931.120848,870,4.8518997076,834,4367,24.354305774,3497,5201,1704,29.005437217,9.5030311514,4.6511314438,19.502406066,29820,29820,Alaska,,
23400,04001,1350.0242688,Apache County,558,0,59,943.25326696,385.25326696,28.536766031,884.25326696,65.499064526,41.332590301,4.370291806,69.869356332,,,,,,,,,,,,,,,,Arizona,326.25326696,24.166474225
23850,04003,5053.9350085,Cochise County,693,0,542,3162.0543557,2469.0543557,48.854097877,2620.0543557,51.841868787,13.712087687,10.724316777,62.566185564,,,,,,,,,,,,,,,,Arizona,1927.0543557,38.1297811
23850,04005,4603,Coconino County,296,0,441,1674,1378,29.93699761,1233,26.786878123,6.4305887465,9.5807082338,36.367586357,,,,,,,,,,,,,,,,Arizona,937,20.356289376
23850,04007,1799.2982418,Gila County,388,0,52,911.69332782,523.69332782,29.105420973,859.69332782,47.77936797,21.563962604,2.8900156068,50.669383577,,,,,,,,,,,,,,,,Arizona,471.69332782,26.215405366
23850,04009,868.00632716,Graham County,184,0,31,501.56902818,317.56902818,36.58602688,470.56902818,54.212626504,21.198002162,3.5714025382,57.784029042,,,,,,,,,,,,,,,,Arizona,286.56902818,33.014624342
23400,04012,449.34434753,La Paz County,20,0,0,176.22811137,156.22811137,34.768015271,176.22811137,39.218944744,4.4509294731,0,39.218944744,,,,,,,,,,,,,,,,Arizona,156.22811137,34.768015271
23850,04013,129656,Maricopa County,488,0,13334,29060,28572,22.036774233,15726,12.129018325,0.3763805763,10.284136484,22.41315481,,,,,,,,,,,,,,,,Arizona,15238,11.752637749
23450,04015,6771.6556525,Mohave County,522,0,230,2830.7718886,2308.7718886,34.094644015,2600.7718886,38.406735695,7.7086022502,3.39651057,41.803246265,,,,,,,,,,,,,,,,Arizona,2078.7718886,30.698133445
23400,04017,3902.9757312,Navajo County,390,0,99,2723.746733,2333.746733,59.794036494,2624.746733,67.249886082,9.9923757374,2.5365261487,69.786412231,,,,,,,,,,,,,,,,Arizona,2234.746733,57.257510345
23850,04019,41275,Pima County,254,0,5222,13259,13005,31.508176863,8037,19.471835251,0.6153846154,12.651726227,32.123561478,,,,,,,,,,,,,,,,Arizona,7783,18.856450636
23850,04021,8681.0368028,Pinal County,1348,0,514,3702.0202631,2354.0202631,27.116810084,3188.0202631,36.723957466,15.528099127,5.9209517443,42.644909211,,,,,,,,,,,,,,,,Arizona,1840.0202631,21.195858339
23400,04023,1793.4685475,Santa Cruz County,163,0,285,1138.2592219,975.25922187,54.378384457,853.25922187,47.575923373,9.0885340715,15.890995156,63.466918528,,,,,,,,,,,,,,,,Arizona,690.25922187,38.487389301
23850,04025,7044,Yavapai County,758,0,290,2187,1429,20.286768881,1897,26.930721181,10.760931289,4.1169789892,31.04770017,,,,,,,,,,,,,,,,Arizona,1139,16.169789892
23650,04027,6071,Yuma County,250,0,1023,3224,2974,48.986987317,2201,36.254323835,4.1179377368,16.850601219,53.104925054,,,,,,,,,,,,,,,,Arizona,1951,32.136386098
23850,04011,,Greenlee County,,,,,,,,,,,,219573,6492,2.9566476753,6330,28614,13.031656898,22122,34944,12822,15.91452501,5.8395157875,2.8828681122,10.075009222,23850,23850,Arizona,,
23850,05003,950.80802646,Ashley County,17,0,154,685.54305987,668.54305987,70.313148529,531.54305987,55.90435136,1.7879529334,16.196750102,72.101101462,,,,,,,,,,,,,,,,Arkansas,514.54305987,54.116398426
23050,05005,1425.3719405,Baxter County,102,0,156,994.6443769,892.6443769,62.625364759,838.6443769,58.83687991,7.156026936,10.944511785,69.781391695,,,,,,,,,,,,,,,,Arkansas,736.6443769,51.680852974
23850,05007,5194.6840568,Benton County,139,0,482,1949.8664157,1810.8664157,34.859991405,1467.8664157,28.257087431,2.6758123975,9.278716371,37.535803802,,,,,,,,,,,,,,,,Arkansas,1328.8664157,25.581275034
23850,05009,1082.7067669,Boone County,77,0,360,928.85714286,851.85714286,78.678472222,568.85714286,52.540277778,7.1118055556,33.25,85.790277778,,,,,,,,,,,,,,,,Arkansas,491.85714286,45.428472222
22500,05015,912.09406495,Carroll County,41,0,90,596.40425532,555.40425532,60.893308778,506.40425532,55.521055862,4.495150399,9.8674033149,65.388459177,,,,,,,,,,,,,,,,Arkansas,465.40425532,51.025905463
23850,05019,1155.9159357,Clark County,110,0,263,557.49269006,447.49269006,38.713255545,294.49269006,25.476998886,9.516262957,22.752519615,48.229518502,,,,,,,,,,,,,,,,Arkansas,184.49269006,15.960735929
23850,05023,834.99222243,Cleburne County,98,0,84,541.73476845,443.73476845,53.142383429,457.73476845,54.819045753,11.736636266,10.059973943,64.879019696,,,,,,,,,,,,,,,,Arkansas,359.73476845,43.082409487
23850,05027,1234.7819851,Columbia County,48,0,174,902.92541595,854.92541595,69.236952456,728.92541595,59.032721951,3.8873259069,14.091556413,73.124278363,,,,,,,,,,,,,,,,Arkansas,680.92541595,55.145396044
23850,05029,789.02450363,Conway County,95,0,195,503.22920045,408.22920045,51.738469283,308.22920045,39.064591661,12.040183741,24.714061363,63.778653024,,,,,,,,,,,,,,,,Arkansas,213.22920045,27.02440792
23850,05031,6193.0133699,Craighead County,50,0,1160,3742.0083201,3692.0083201,59.615700784,2582.0083201,41.692277505,0.807361409,18.730784688,60.423062193,,,,,,,,,,,,,,,,Arkansas,2532.0083201,40.884916096
23400,05033,1917.8101856,Crawford County,84,0,391,1312.7019868,1228.7019868,64.067966474,921.70198675,48.060125745,4.3799955089,20.387836238,68.447961983,,,,,,,,,,,,,,,,Arkansas,837.70198675,43.680130236
23850,05035,3391.2334048,Crittenden County,128,0,875,2160.2451359,2032.2451359,59.926430691,1285.2451359,37.899046821,3.7744379322,25.801821802,63.700868623,,,,,,,,,,,,,,,,Arkansas,1157.2451359,34.124608889
23850,05045,4072.1534237,Faulkner County,0,0,433,1699.1580869,1699.1580869,41.726278705,1266.1580869,31.093084055,0,10.63319465,41.726278705,,,,,,,,,,,,,,,,Arkansas,1266.1580869,31.093084055
22950,05051,4584.7876462,Garland County,23,0,594,2026.7097953,2003.7097953,43.703437322,1432.7097953,31.249207289,0.5016590031,12.955889036,44.205096325,,,,,,,,,,,,,,,,Arkansas,1409.7097953,30.747548286
23850,05055,2054.1186876,Greene County,25,0,300,1172.5713418,1147.5713418,55.866846876,872.57134184,42.479110244,1.2170669665,14.604803598,57.083913842,,,,,,,,,,,,,,,,Arkansas,847.57134184,41.262043277
22750,05057,1150.7896794,Hempstead County,66,0,222,911.05707584,845.05707584,73.432799315,689.05707584,59.876890465,5.7351922058,19.291101056,79.167991521,,,,,,,,,,,,,,,,Arkansas,623.05707584,54.141698259
23850,05059,1073.8441764,Hot Spring County,45,0,155,482.16398635,437.16398635,40.710188308,327.16398635,30.466616437,4.1905521293,14.434124001,44.900740438,,,,,,,,,,,,,,,,Arkansas,282.16398635,26.276064307
22750,05063,1916.4358938,Independence County,50,0,208,1251.8538078,1201.8538078,62.712966902,1043.8538078,54.46849598,2.6090097854,10.853480707,65.321976687,,,,,,,,,,,,,,,,Arkansas,993.85380776,51.859486195
