l30_4,county,Total,unitsnoasst,Per100_No_Assisted,eli,units_no_USDA,per100_no_USDA,abbrev,countyname,population,usda,state_flag,Gap_No_assisted,Gap_No_USDA,Units_No_HUD,Per100_No_HUD,Gap_No_HUD,Units,Gap,per100,ST_Total,ST_Gap_No_assisted,ST_Per100_No_Assisted,ST_Unitsnoasst,ST_eli,ST_Units_no_USDA,ST_Per100_No_USDA,ST_usda,ST_population,ST_Units_No_HUD,ST_Units,ST_Gap_No_HUD,ST_Gap_No_USDA,ST_Gap,ST_per100,ST_per100_No_HUD,MinEli,MaxEli,min_max_same
14300,1067,,,,,,,AL,Henry County,,,,,,,,,,,,151056,90896,39.82628959,60160,11096,71256,47.17190976,6965,4817678,67125,78221,83931,79800,72835,51.78278254,44.43716238,13550,17200,
14750,1069,2830.322156,1241.819447,43.8755512,191,1432.819447,50.6238996,AL,Houston County,103079,27,0,1588.502709,1397.502709,1268.819447,44.82950621,4099.141602,1459.819447,1370.502709,51.57785461,,,,,,,,,,,,,,,,,,,
13900,1071,1408.085333,824.9235556,58.58477012,65,889.9235556,63.20096762,AL,Jackson County,53012,357,0,583.1617778,518.1617778,1181.923556,83.93834717,2590.008889,1246.923556,161.1617778,88.55454467,,,,,,,,,,,,,,,,,,,
17200,1073,23197,7752,33.41811441,2171,9923,42.77708324,AL,Jefferson County,658834,123,0,15445,13274,7875,33.94835539,31072,10046,13151,43.30732422,,,,,,,,,,,,,,,,,,,
13550,1075,,,,,,,AL,Lamar County,,,,,,,,,,,,151056,90896,39.82628959,60160,11096,71256,47.17190976,6965,4817678,67125,78221,83931,79800,72835,51.78278254,44.43716238,13550,17200,
15000,1077,3545.939659,1303.069237,36.74820673,262,1565.069237,44.13693934,AL,Lauderdale County,92780,122,0,2242.870423,1980.870423,1425.069237,40.18876161,4971.008896,1687.069237,1858.870423,47.57749423,,,,,,,,,,,,,,,,,,,
16100,1079,,,,,,,AL,Lawrence County,,,,,,,,,,,,151056,90896,39.82628959,60160,11096,71256,47.17190976,6965,4817678,67125,78221,83931,79800,72835,51.78278254,44.43716238,13550,17200,
17300,1081,7564,1938,25.62136436,316,2254,29.79904812,AL,Lee County,147790,7,0,5626,5310,1945,25.71390799,9509,2261,5303,29.89159175,,,,,,,,,,,,,,,,,,,
19450,1083,1586.013693,713.1279501,44.96354307,32,745.1279501,46.98118013,AL,Limestone County,87167,78,0,872.8857431,840.8857431,791.1279501,49.8815334,2377.141643,823.1279501,762.8857431,51.89917046,,,,,,,,,,,,,,,,,,,
16750,1085,,,,,,,AL,Lowndes County,,,,,,,,,,,,151056,90896,39.82628959,60160,11096,71256,47.17190976,6965,4817678,67125,78221,83931,79800,72835,51.78278254,44.43716238,13550,17200,
13550,1087,1112.754752,574.1300827,51.59538357,81,655.1300827,58.87461557,AL,Macon County,20505,79,0,538.6246697,457.6246697,653.1300827,58.69488145,1765.884835,734.1300827,378.6246697,65.97411345,,,,,,,,,,,,,,,,,,,
19450,1089,10155.98631,4202.87205,41.38319926,507,4709.87205,46.37532887,AL,Madison County,343229,0,0,5953.114257,5446.114257,4202.87205,41.38319926,14358.85836,4709.87205,5446.114257,46.37532887,,,,,,,,,,,,,,,,,,,
13550,1091,,,,,,,AL,Marengo County,,,,,,,,,,,,151056,90896,39.82628959,60160,11096,71256,47.17190976,6965,4817678,67125,78221,83931,79800,72835,51.78278254,44.43716238,13550,17200,
13550,1093,,,,,,,AL,Marion County,,,,,,,,,,,,151056,90896,39.82628959,60160,11096,71256,47.17190976,6965,4817678,67125,78221,83931,79800,72835,51.78278254,44.43716238,13550,17200,
14250,1095,3011.842286,1018.197005,33.80645161,329,1347.197005,44.72999836,AL,Marshall County,94121,192,0,1993.645281,1664.645281,1210.197005,40.1812874,4222.039291,1539.197005,1472.645281,51.10483415,,,,,,,,,,,,,,,,,,,
14850,1097,14981,5219,34.83746078,2313,7532,50.27701756,AL,Mobile County,414045,239,0,9762,7449,5458,36.4328149,20439,7771,7210,51.87237167,,,,,,,,,,,,,,,,,,,
13900,1099,,,,,,,AL,Monroe County,,,,,,,,,,,,151056,90896,39.82628959,60160,11096,71256,47.17190976,6965,4817678,67125,78221,83931,79800,72835,51.78278254,44.43716238,13550,17200,
16750,1101,9447.350372,2677.322359,28.33939944,665,3342.322359,35.37841011,AL,Montgomery County,228850,0,0,6770.028013,6105.028013,2677.322359,28.33939944,12124.67273,3342.322359,6105.028013,35.37841011,,,,,,,,,,,,,,,,,,,
16100,1103,3516.39812,1534.776894,43.64627786,266,1800.776894,51.21083656,AL,Morgan County,119744,53,0,1981.621226,1715.621226,1587.776894,45.15350196,5104.175014,1853.776894,1662.621226,52.71806066,,,,,,,,,,,,,,,,,,,
13550,1105,,,,,,,AL,Perry County,,,,,,,,,,,,151056,90896,39.82628959,60160,11096,71256,47.17190976,6965,4817678,67125,78221,83931,79800,72835,51.78278254,44.43716238,13550,17200,
13550,1107,,,,,,,AL,Pickens County,,,,,,,,,,,,151056,90896,39.82628959,60160,11096,71256,47.17190976,6965,4817678,67125,78221,83931,79800,72835,51.78278254,44.43716238,13550,17200,
13550,1109,1861.62288,960.5114654,51.59538357,300,1260.511465,67.71035526,AL,Pike County,33216,126,0,901.1114142,601.1114142,1086.511465,58.36367168,2948.134345,1386.511465,475.1114142,74.47864337,,,,,,,,,,,,,,,,,,,
13550,1111,,,,,,,AL,Randolph County,,,,,,,,,,,,151056,90896,39.82628959,60160,11096,71256,47.17190976,6965,4817678,67125,78221,83931,79800,72835,51.78278254,44.43716238,13550,17200,
14600,1113,2724.252664,1405.588611,51.59538357,260,1665.588611,61.13928541,AL,Russell County,56980,38,0,1318.664053,1058.664053,1443.588611,52.99026153,4167.841275,1703.588611,1020.664053,62.53416337,,,,,,,,,,,,,,,,,,,
17200,1115,1219.97055,660.0675617,54.10520456,71,731.0675617,59.92501718,AL,St. Clair County,85242,62,0,559.9029883,488.9029883,722.0675617,59.18729446,1942.038112,793.0675617,426.9029883,65.00710707,,,,,,,,,,,,,,,,,,,
17200,1117,1733,488,28.1592614,18,506,29.19792268,AL,Shelby County,201168,57,0,1245,1227,545,31.44835545,2278,563,1170,32.48701673,,,,,,,,,,,,,,,,,,,
13550,1119,,,,,,,AL,Sumter County,,,,,,,,,,,,151056,90896,39.82628959,60160,11096,71256,47.17190976,6965,4817678,67125,78221,83931,79800,72835,51.78278254,44.43716238,13550,17200,
14300,1121,2612.687465,1480.347136,56.65993946,16,1496.347136,57.2723357,AL,Talladega County,81673,285,0,1132.340329,1116.340329,1765.347136,67.56824762,4378.0346,1781.347136,831.340329,68.18064387,,,,,,,,,,,,,,,,,,,
14150,1123,1083.400128,563.2055058,51.98499531,81,644.2055058,59.46145741,AL,Tallapoosa County,41295,45,0,520.1946223,439.1946223,608.2055058,56.13858537,1691.605634,689.2055058,394.1946223,63.61504747,,,,,,,,,,,,,,,,,,,
15900,1125,9942,2789,28.05270569,617,3406,34.25870046,AL,Tuscaloosa County,198670,0,0,7153,6536,2789,28.05270569,12731,3406,6536,34.25870046,,,,,,,,,,,,,,,,,,,
13550,1127,1682.127761,910.1186661,54.10520456,158,1068.118666,63.49807018,AL,Walker County,66211,53,0,772.0090949,614.0090949,963.1186661,57.25597594,2645.246427,1121.118666,561.0090949,66.64884155,,,,,,,,,,,,,,,,,,,
13900,1129,,,,,,,AL,Washington County,,,,,,,,,,,,151056,90896,39.82628959,60160,11096,71256,47.17190976,6965,4817678,67125,78221,83931,79800,72835,51.78278254,44.43716238,13550,17200,
13550,1131,,,,,,,AL,Wilcox County,,,,,,,,,,,,151056,90896,39.82628959,60160,11096,71256,47.17190976,6965,4817678,67125,78221,83931,79800,72835,51.78278254,44.43716238,13550,17200,
13550,1133,,,,,,,AL,Winston County,,,,,,,,,,,,151056,90896,39.82628959,60160,11096,71256,47.17190976,6965,4817678,67125,78221,83931,79800,72835,51.78278254,44.43716238,13550,17200,
20450,2013,,,,,,,AK,Aleutians East Borough,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
26800,2016,,,,,,,AK,Aleutians West Census Area,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
23600,2020,6130,1483,24.19249592,991,2474,40.3588907,AK,Anchorage Municipality,298178,39,0,4647,3656,1522,24.82871126,7652,2513,3617,40.99510604,,,,,,,,,,,,,,,,,,,
21200,2050,,,,,,,AK,Bethel Census Area,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
22000,2060,,,,,,,AK,Bristol Bay Borough,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
25950,2068,,,,,,,AK,Denali Borough,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
20450,2070,,,,,,,AK,Dillingham Census Area,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
21050,2090,1586.097714,432.0672344,27.24089636,159,591.0672344,37.26549942,AK,Fairbanks North Star Borough,99319,19,0,1154.03048,995.0304796,451.0672344,28.4388049,2037.164949,610.0672344,976.0304796,38.46340796,,,,,,,,,,,,,,,,,,,
20450,2100,,,,,,,AK,Haines Borough,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
26050,2110,,,,,,,AK,Juneau City and Borough,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
20450,2122,1022.541635,292.1547528,28.57142857,108,400.1547528,39.1333457,AK,Kenai Peninsula Borough,56687,189,0,730.3868819,622.3868819,481.1547528,47.05478354,1503.696387,589.1547528,433.3868819,57.61670066,,,,,,,,,,,,,,,,,,,
21800,2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20450,26800,
21850,2150,562.2983193,235.2352941,41.83460737,38,273.2352941,48.59258595,AK,Kodiak Island Borough,13924,33,0,327.0630252,289.0630252,268.2352941,47.70337824,830.5336135,306.2352941,256.0630252,54.46135683,,,,,,,,,,,,,,,,,,,
20450,2164,,,,,,,AK,Lake and Peninsula Borough,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
21100,2170,1007.458365,287.8452473,28.57142857,109,396.8452473,39.39073424,AK,Matanuska-Susitna Borough,93843,339,0,719.6131181,610.6131181,626.8452473,62.22046179,1634.303613,735.8452473,271.6131181,73.03976745,,,,,,,,,,,,,,,,,,,
20450,2180,,,,,,,AK,Nome Census Area,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
25000,2185,,,,,,,AK,North Slope Borough,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
20450,2188,,,,,,,AK,Northwest Arctic Borough,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
20450,2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20450,26800,
23100,2220,,,,,,,AK,Sitka City and Borough,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
20450,2240,,,,,,,AK,Southeast Fairbanks Census Area,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
22350,2261,,,,,,,AK,Valdez-Cordova Census Area,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
20450,2270,,,,,,,AK,Wade Hampton Census Area,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
20450,2280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20450,26800,
20450,2282,,,,,,,AK,Yakutat City and Borough,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
20450,2290,,,,,,,AK,Yukon-Koyukuk Census Area,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
,2999,,,,,,,,,,,,,,,,,,,,12455,9012,27.64351666,3443,1681,5124,41.14010438,830,699551,4273,5954,8182,7331,6501,47.80409474,34.30750703,20450,26800,
12300,4001,,,,,,,AZ,Apache County,,,,,,,,,,,,134574,105433,21.65425714,29141,8630,37771,28.06708577,5887,6561516,35028,43658,99546,96803,90916,32.44163063,26.028802,12300,15350,
13550,4003,2781.083343,975.5227901,35.0770786,243,1218.52279,43.81468082,AZ,Cochise County,130807,598,0,1805.560553,1562.560553,1573.52279,56.57949065,4354.606134,1816.52279,964.5605532,65.31709287,,,,,,,,,,,,,,,,,,,
16400,4005,3317,767,23.12330419,206,973,29.3337353,AZ,Coconino County,135817,280,0,2550,2344,1047,31.56466687,4364,1253,2064,37.77509798,,,,,,,,,,,,,,,,,,,
12800,4007,,,,,,,AZ,Gila County,,,,,,,,,,,,134574,105433,21.65425714,29141,8630,37771,28.06708577,5887,6561516,35028,43658,99546,96803,90916,32.44163063,26.028802,12300,15350,
12300,4009,,,,,,,AZ,Graham County,,,,,,,,,,,,134574,105433,21.65425714,29141,8630,37771,28.06708577,5887,6561516,35028,43658,99546,96803,90916,32.44163063,26.028802,12300,15350,
15350,4011,,,,,,,AZ,Greenlee County,,,,,,,,,,,,134574,105433,21.65425714,29141,8630,37771,28.06708577,5887,6561516,35028,43658,99546,96803,90916,32.44163063,26.028802,12300,15350,
12300,4012,,,,,,,AZ,La Paz County,,,,,,,,,,,,134574,105433,21.65425714,29141,8630,37771,28.06708577,5887,6561516,35028,43658,99546,96803,90916,32.44163063,26.028802,12300,15350,
18050,4013,81654,14905,18.25385162,4622,19527,23.91432141,AZ,Maricopa County,3947382,430,0,66749,62127,15335,18.78046391,96989,19957,61697,24.4409337,,,,,,,,,,,,,,,,,,,
17750,4015,4360.45946,1344.4519,30.83280356,200,1544.4519,35.41947618,AZ,Mohave County,202482,488,0,3016.00756,2816.00756,1832.4519,42.02428475,6192.911359,2032.4519,2328.00756,46.61095736,,,,,,,,,,,,,,,,,,,
12300,4017,1743.456918,852.0546529,48.8715634,29,881.0546529,50.53492541,AZ,Navajo County,107489,283,0,891.4022649,862.4022649,1135.054653,65.10368231,2878.511571,1164.054653,579.4022649,66.76704431,,,,,,,,,,,,,,,,,,,
15700,4019,25531,5390,21.11158983,2320,7710,30.19858212,AZ,Pima County,993144,280,0,20141,17821,5670,22.2082958,31201,7990,17541,31.29528808,,,,,,,,,,,,,,,,,,,
18050,4021,4794,1869.15,38.9893617,297,2166.15,45.18460576,AZ,Pinal County,390160,1476,0,2924.85,2627.85,3345.15,69.77784731,8139.15,3642.15,1151.85,75.97309136,,,,,,,,,,,,,,,,,,,
13200,4023,,,,,,,AZ,Santa Cruz County,,,,,,,,,,,,134574,105433,21.65425714,29141,8630,37771,28.06708577,5887,6561516,35028,43658,99546,96803,90916,32.44163063,26.028802,12300,15350,
14750,4025,3522,988,28.05224304,57,1045,29.67064168,AZ,Yavapai County,213689,680,0,2534,2477,1668,47.35945486,5190,1725,1797,48.97785349,,,,,,,,,,,,,,,,,,,
12350,4027,3797,858,22.59678694,507,1365,35.94943376,AZ,Yuma County,201453,182,0,2939,2432,1040,27.39004477,4837,1547,2250,40.7426916,,,,,,,,,,,,,,,,,,,
12800,5001,,,,,,,AR,Arkansas County,,,,,,,,,,,,84105,56310,33.04797575,27795,8826,36621,43.54200107,5176,2947036,32971,41797,51134,47484,42308,49.69621307,39.20218774,12100,16950,
13150,5003,,,,,,,AR,Ashley County,,,,,,,,,,,,84105,56310,33.04797575,27795,8826,36621,43.54200107,5176,2947036,32971,41797,51134,47484,42308,49.69621307,39.20218774,12100,16950,
12200,5005,842.7741012,373.7390449,44.34628975,175,548.7390449,65.11104744,AR,Baxter County,41154,97,0,469.0350563,294.0350563,470.7390449,55.8558983,1313.513146,645.7390449,197.0350563,76.62065599,,,,,,,,,,,,,,,,,,,
15950,5007,3087,884,28.63621639,243,1127,36.50793651,AR,Benton County,232611,140,0,2203,1960,1024,33.17136378,4111,1267,1820,41.0430839,,,,,,,,,,,,,,,,,,,
12400,5009,,,,,,,AR,Boone County,,,,,,,,,,,,84105,56310,33.04797575,27795,8826,36621,43.54200107,5176,2947036,32971,41797,51134,47484,42308,49.69621307,39.20218774,12100,16950,
12100,5011,,,,,,,AR,Bradley County,,,,,,,,,,,,84105,56310,33.04797575,27795,8826,36621,43.54200107,5176,2947036,32971,41797,51134,47484,42308,49.69621307,39.20218774,12100,16950,
12200,5013,,,,,,,AR,Calhoun County,,,,,,,,,,,,84105,56310,33.04797575,27795,8826,36621,43.54200107,5176,2947036,32971,41797,51134,47484,42308,49.69621307,39.20218774,12100,16950,
12100,5015,,,,,,,AR,Carroll County,,,,,,,,,,,,84105,56310,33.04797575,27795,8826,36621,43.54200107,5176,2947036,32971,41797,51134,47484,42308,49.69621307,39.20218774,12100,16950,
12100,5017,,,,,,,AR,Chicot County,,,,,,,,,,,,84105,56310,33.04797575,27795,8826,36621,43.54200107,5176,2947036,32971,41797,51134,47484,42308,49.69621307,39.20218774,12100,16950,
13100,5019,,,,,,,AR,Clark County,,,,,,,,,,,,84105,56310,33.04797575,27795,8826,36621,43.54200107,5176,2947036,32971,41797,51134,47484,42308,49.69621307,39.20218774,12100,16950,
12100,5021,,,,,,,AR,Clay County,,,,,,,,,,,,84105,56310,33.04797575,27795,8826,36621,43.54200107,5176,2947036,32971,41797,51134,47484,42308,49.69621307,39.20218774,12100,16950,
13000,5023,,,,,,,AR,Cleburne County,,,,,,,,,,,,84105,56310,33.04797575,27795,8826,36621,43.54200107,5176,2947036,32971,41797,51134,47484,42308,49.69621307,39.20218774,12100,16950,
13700,5025,,,,,,,AR,Cleveland County,,,,,,,,,,,,84105,56310,33.04797575,27795,8826,36621,43.54200107,5176,2947036,32971,41797,51134,47484,42308,49.69621307,39.20218774,12100,16950,
12800,5027,,,,,,,AR,Columbia County,,,,,,,,,,,,84105,56310,33.04797575,27795,8826,36621,43.54200107,5176,2947036,32971,41797,51134,47484,42308,49.69621307,39.20218774,12100,16950,
13200,5029,,,,,,,AR,Conway County,,,,,,,,,,,,84105,56310,33.04797575,27795,8826,36621,43.54200107,5176,2947036,32971,41797,51134,47484,42308,49.69621307,39.20218774,12100,16950,
14100,5031,3544.546465,1040.564734,29.35678074,645,1685.564734,47.55374913,AR,Craighead County,99835,43,0,2503.981732,1858.981732,1083.564734,30.56991196,4628.111199,1728.564734,1815.981732,48.76688036,,,,,,,,,,,,,,,,,,,
13550,5033,,,,,,,AR,Crawford County,,,,,,,,,,,,84105,56310,33.04797575,27795,8826,36621,43.54200107,5176,2947036,32971,41797,51134,47484,42308,49.69621307,39.20218774,12100,16950,
