l30_4,county,countyname,pop2011_13,state_flag,Avg_ELITotal_11_13,Avg_Units_11_13,Avg_units_hud_12_13,Avg_Units_No_Assist_11_13,Gap_11_to_13,Gap_11_to_13_No_Assist,per100,per100_No_Assist,State_Avg_ELITotal_11_13,State_Avg_Units_11_13,State_Avg_units_hud_12_13,State_Avg_Units_No_Assist_11_13,State_Gap_11_to_13,State_Gap_11_to_13_No_Assist,State_per100,State_per100_No_Assist
18450,01001,Autauga County,55263,0,1327.302653,486.2149858,145,341.2149858,841.0876675,986.0876675,36.63180998,25.70739876,,,,,,,,
18100,01003,Baldwin County,190981,0,4817.666667,1842.666667,491.5,1351.166667,2975,3466.5,38.24811458,28.0460804,,,,,,,,
13800,01005,Barbour County,27203,0,822.7948224,344.7672025,442,0,478.0276199,822.7948224,41.90196548,0,,,,,,,,
17900,01007,Bibb County,22648,0,689.1296744,318.9423943,81.5,237.4423943,370.1872802,451.6872802,46.28191269,34.45540122,,,,,,,,
17900,01009,Blount County,57807,0,896.7333897,421.616584,284.5,137.116584,475.1168057,759.6168057,47.01693823,15.29067452,,,,,,,,
13800,01011,Bullock County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
13800,01013,Butler County,20437,0,850.1371974,400.9056474,213,187.9056474,449.23155,662.23155,47.15775861,22.10297914,,,,,,,,
15950,01015,Calhoun County,117253,0,4982.333333,1532,1116.5,415.5,3450.333333,4566.833333,30.74864521,8.339466114,,,,,,,,
13800,01017,Chambers County,34077,0,1306.783014,666.2102895,285.5,380.7102895,640.5727247,926.0727247,50.98094192,29.13339746,,,,,,,,
15100,01019,Cherokee County,26116,0,860.9393264,437.5675428,129.5,308.0675428,423.3717836,552.8717836,50.82443436,35.78272398,,,,,,,,
15600,01021,Chilton County,43846,0,997.1368035,508.9897119,115,393.9897119,488.1470916,603.1470916,51.04512341,39.5121021,,,,,,,,
13800,01023,Choctaw County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
13800,01025,Clarke County,25347,0,959.9627226,467.7738816,77.5,390.2738816,492.188841,569.688841,48.72833816,40.655108,,,,,,,,
13850,01027,Clay County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
