l30_4,county,Total,countyname,usda,state_flag,hud,USDAper100,hudper100,ST_Total,ST_Unitsnoasst,ST_per100_No_Assisted,ST_usda,ST_Units_no_USDA,ST_Per100_No_USDA,ST_hud,ST_Units,ST_Units_No_HUD,ST_per100,ST_per100_No_HUD,ST_USDAper100,ST_Hudper100,MinEli,MaxEli,State_Name,Unitsnoasst,units,Units_no_usda,Per100_No_USDA,Units_No_HUD,Per100_No_HUD,per100,per100_no_assisted
14350,01001,778.38127256,Autauga,25,0,76,3.2117936134,9.7638525847,,,,,,,,,,,,,,,,Alabama,356.31536918,457.31536918,432.31536918,55.540309668,381.31536918,48.988250696,58.752103281,45.776457083
13000,01003,1581,Baldwin,174,0,365,11.0056926,23.086654016,,,,,,,,,,,,,,,,Alabama,307,846,672,42.504743833,481,30.423782416,53.510436433,19.418089817
11150,01005,912.42726186,Barbour,193,0,295,21.152371051,32.331344353,,,,,,,,,,,,,,,,Alabama,221.87843762,709.87843762,516.87843762,56.648727984,414.87843762,45.469754683,77.801099036,24.317383632
11150,01007,466.34782609,Bibb,173,0,58,37.096774194,12.437068805,,,,,,,,,,,,,,,,Alabama,57.086956522,288.08695652,115.08695652,24.678351669,230.08695652,49.338057058,61.775125862,12.241282864
14950,01009,744.84450144,Blount,96,0,231,12.888596185,31.013184571,,,,,,,,,,,,,,,,Alabama,254.21930106,581.21930106,485.21930106,65.143704507,350.21930106,47.019116122,78.032300693,34.130519936
11150,01013,660.89876445,Butler,182,0,169,27.53825696,25.571238606,,,,,,,,,,,,,,,,Alabama,143.51574332,494.51574332,312.51574332,47.286477163,325.51574332,49.253495518,74.824734124,21.715238558
11150,01015,2822,Calhoun,72,0,666,2.5513819986,23.600283487,,,,,,,,,,,,,,,,Alabama,772,1510,1438,50.956768249,844,29.907866761,53.508150248,27.356484763
11150,01017,979.57804569,Chambers,71,0,186,7.2480187069,18.987767317,,,,,,,,,,,,,,,,Alabama,384.92861675,641.92861675,570.92861675,58.283116824,455.92861675,46.543368214,65.531135531,39.295349508
11150,01019,565.25715956,Cherokee,76,0,81,13.445207852,14.329761,,,,,,,,,,,,,,,,Alabama,208.05581531,365.05581531,289.05581531,51.137046285,284.05581531,50.252493137,64.582254137,36.807285285
11150,01021,625.33629442,Chilton,119,0,70,19.029760636,11.193976845,,,,,,,,,,,,,,,,Alabama,220.78997462,409.78997462,290.78997462,46.501374895,339.78997462,54.337158686,65.531135531,35.30739805
11150,01025,610.76768354,Clarke,217,0,73,35.529057258,11.952171336,,,,,,,,,,,,,,,,Alabama,172.0315119,462.0315119,245.0315119,40.118611136,389.0315119,63.695497058,75.647668394,28.1664398
12600,01031,1469.3069307,Coffee,81,0,272,5.5128032345,18.51212938,,,,,,,,,,,,,,,,Alabama,765.88118812,1118.8811881,1037.8811881,70.637466307,846.88118812,57.638140162,76.150269542,52.125336927
12400,01033,1536.7332351,Colbert,45,0,359,2.9282896324,23.361243956,,,,,,,,,,,,,,,,Alabama,518.13356669,922.13356669,877.13356669,57.077802879,563.13356669,36.644848555,60.006092511,33.716558923
11150,01039,1015.9207921,Covington,107,0,268,10.532317168,26.380009356,,,,,,,,,,,,,,,,Alabama,354.64356436,729.64356436,622.64356436,61.288593482,461.64356436,45.440901294,71.82091065,34.908584126
11150,01043,1523.9519852,Cullman,160,0,238,10.499018444,15.617289935,,,,,,,,,,,,,,,,Alabama,592.46999077,990.46999077,830.46999077,54.494498437,752.46999077,49.376226946,64.99351688,38.877208502
11400,01045,1324.8267548,Dale,171,0,288,12.907348027,21.738691414,,,,,,,,,,,,,,,,Alabama,328.71436905,787.71436905,616.71436905,46.55056722,499.71436905,37.719223833,59.457915247,24.811875806
11150,01047,2961.0437253,Dallas,17,0,720,0.5741218833,24.31575035,,,,,,,,,,,,,,,,Alabama,1284.1884881,2021.1884881,2004.1884881,67.685204072,1301.1884881,43.943575606,68.259325956,43.369453722
11150,01049,1304.8339802,DeKalb,139,0,327,10.652696214,25.060659438,,,,,,,,,,,,,,,,Alabama,508.31047865,974.31047865,835.31047865,64.016609879,647.31047865,49.608646655,74.669306093,38.955950441
14350,01051,1058.1120424,Elmore,123,0,91,11.62447785,8.6002234503,,,,,,,,,,,,,,,,Alabama,412.78807997,626.78807997,503.78807997,47.611978674,535.78807997,50.636233074,59.236456525,39.011755224
11150,01053,1140.0134093,Escambia,230,0,187,20.175201284,16.403315827,,,,,,,,,,,,,,,,Alabama,498.39356353,915.39356353,685.39356353,60.121535231,728.39356353,63.893420689,80.296736516,43.718219404
11150,01055,2952,Etowah,49,0,731,1.6598915989,24.762872629,,,,,,,,,,,,,,,,Alabama,805,1585,1536,52.032520325,854,28.929539295,53.692411924,27.269647696
11150,01059,1158.6317001,Franklin,153,0,248,13.205231653,21.404558496,,,,,,,,,,,,,,,,Alabama,474.59355475,875.59355475,722.59355475,62.366112949,627.59355475,54.166786106,75.571344602,40.961554454
11150,01061,588.77227723,Geneva,37,0,137,6.2842632765,23.268758618,,,,,,,,,,,,,,,,Alabama,266.47524752,440.47524752,403.47524752,68.528234621,303.47524752,51.54373928,74.812497898,45.259476003
11400,01069,2787.1732452,Houston,28,0,711,1.0046020659,25.509716744,,,,,,,,,,,,,,,,Alabama,805.28563095,1544.285631,1516.285631,54.402274188,833.28563095,29.897159511,55.406876254,28.892557445
11150,01071,1361.1660198,Jackson,360,0,240,26.447912654,17.631941769,,,,,,,,,,,,,,,,Alabama,401.68952135,1001.6895213,641.68952135,47.142634476,761.68952135,55.958605361,73.59054713,29.510692707
14950,01073,25237,Jefferson,125,0,6504,0.4953045132,25.771684432,,,,,,,,,,,,,,,,Alabama,8394,15023,14898,59.032373103,8519,33.755993185,59.527677616,33.260688671
12400,01077,2907.2667649,Lauderdale,117,0,585,4.0243984973,20.121992486,,,,,,,,,,,,,,,,Alabama,969.86643331,1671.8664333,1554.8664333,53.482069553,1086.8664333,37.384475564,57.50646805,33.360077067
12600,01079,556.02112145,Lawrence,103,0,132,18.524476144,23.74010535,,,,,,,,,,,,,,,,Alabama,66.936132763,301.93613276,198.93613276,35.778520831,169.93613276,30.562891626,54.302996976,12.038415481
13300,01081,6913,Lee,0,0,649,0,9.3881093592,,,,,,,,,,,,,,,,Alabama,1875,2524,2524,36.510921452,1875,27.122812093,36.510921452,27.122812093
15000,01083,1235.0422682,Limestone,77,0,270,6.234604433,21.86159996,,,,,,,,,,,,,,,,Alabama,348.4086931,695.4086931,618.4086931,50.071864667,425.4086931,34.44486914,56.3064691,28.210264707
11150,01087,1099.8007174,Macon,60,0,305,5.4555338117,27.732296876,,,,,,,,,,,,,,,,Alabama,468.02311678,833.02311678,773.02311678,70.287562514,528.02311678,48.010799449,75.743096325,42.555265637
15000,01089,7743.9577318,Madison,0,0,1692,0,21.849292811,,,,,,,,,,,,,,,,Alabama,1854.5913069,3546.5913069,3546.5913069,45.798174909,1854.5913069,23.948882098,45.798174909,23.948882098
11150,01091,718.06966403,Marengo,136,0,194,18.939666555,27.016877292,,,,,,,,,,,,,,,,Alabama,114.58843874,444.58843874,308.58843874,42.974721561,250.58843874,34.897510825,61.914388116,15.95784427
11150,01093,887.74449194,Marion,194,0,286,21.853134743,32.216476993,,,,,,,,,,,,,,,,Alabama,181.19302861,661.19302861,467.19302861,52.62697013,375.19302861,42.263627881,74.480104874,20.410493138
11150,01095,1928.8494922,Marshall,180,0,745,9.3319878369,38.624060769,,,,,,,,,,,,,,,,Alabama,469.53093259,1394.5309326,1214.5309326,62.966599392,649.53093259,33.674526459,72.298587229,24.342538622
13000,01097,14900,Mobile,224,0,4250,1.5033557047,28.523489933,,,,,,,,,,,,,,,,Alabama,3640,8114,7890,52.953020134,3864,25.932885906,54.456375839,24.429530201
11150,01099,729.81562186,Monroe,115,0,166,15.757404549,22.745470915,,,,,,,,,,,,,,,,Alabama,272.08850151,553.08850151,438.08850151,60.027284754,387.08850151,53.039218388,75.784689303,37.281813839
14350,01101,8603.506685,Montgomery,0,0,1910,0,22.200250083,,,,,,,,,,,,,,,,Alabama,2671.8965508,4581.8965508,4581.8965508,53.256151458,2671.8965508,31.055901374,53.256151458,31.055901374
12600,01103,3080.9788786,Morgan,52,0,540,1.6877752834,17.526897174,,,,,,,,,,,,,,,,Alabama,1295.0638672,1887.0638672,1835.0638672,59.561066128,1347.0638672,43.721944237,61.248841411,42.034168954
11150,01107,587.41302203,Pickens,239,0,198,40.686874658,33.707117918,,,,,,,,,,,,,,,,Alabama,46.227227886,483.22722789,244.22722789,41.576747318,285.22722789,48.556504059,82.263621977,7.8696294007
11150,01109,1417.5209247,Pike,117,0,221,8.2538464134,15.590598781,,,,,,,,,,,,,,,,Alabama,795.00757274,1133.0075727,1016.0075727,71.674961198,912.00757274,64.338208831,79.928807612,56.084362418
11150,01111,470.42372881,Randolph,97,0,74,20.619708161,15.730499009,,,,,,,,,,,,,,,,Alabama,133.31355932,304.31355932,207.31355932,44.06953702,230.31355932,48.958746172,64.689245181,28.339038011
12500,01113,2493.8999601,Russell,37,0,645,1.4836200566,25.863106392,,,,,,,,,,,,,,,,Alabama,1274.8876046,1956.8876046,1919.8876046,76.983344773,1311.8876046,52.603858438,78.46696483,51.120238382
14950,01115,1075.3542802,St Clair,66,0,93,6.1375121868,8.6483126269,,,,,,,,,,,,,,,,Alabama,653.59313883,812.59313883,746.59313883,69.42764376,719.59313883,66.91684332,75.565155947,60.779331133
14950,01117,1705,Shelby,55,0,168,3.2258064516,9.853372434,,,,,,,,,,,,,,,,Alabama,712,935,880,51.612903226,767,44.985337243,54.838709677,41.759530792
11150,01121,2582.9631794,Talladega,274,0,602,10.60797158,23.306565297,,,,,,,,,,,,,,,,Alabama,779.42723553,1655.4272355,1381.4272355,53.482265893,1053.4272355,40.783672176,64.090237473,30.175700596
11150,01123,1003.8293147,Tallapoosa,46,0,214,4.5824523478,21.31836527,,,,,,,,,,,,,,,,Alabama,447.82074873,707.82074873,661.82074873,65.929609648,493.82074873,49.193696726,70.512061996,44.611244378
13600,01125,8151,Tuscaloosa,0,0,1573,0,19.298245614,,,,,,,,,,,,,,,,Alabama,1778,3351,3351,41.111520059,1778,21.813274445,41.111520059,21.813274445
11150,01127,1914.8012183,Walker,48,0,313,2.5067876258,16.34634431,,,,,,,,,,,,,,,,Alabama,1117.1875601,1478.1875601,1430.1875601,74.691176631,1165.1875601,60.851619947,77.197964256,58.344832321
11150,01133,419.19852262,Winston,112,0,123,26.717651412,29.341706462,,,,,,,,,,,,,,,,Alabama,30.999076639,265.99907664,153.99907664,36.736550424,142.99907664,34.112495374,63.454201836,7.394843962
11150,01011,,Bullock,,,,,,137585,10400,7.5589635498,6860,41606,30.24021514,31206,48466,17260,35.226223789,12.544972199,4.9860086492,22.68125159,11150,11150,Alabama,,,,,,,,
11150,01023,,Choctaw,,,,,,137585,10400,7.5589635498,6860,41606,30.24021514,31206,48466,17260,35.226223789,12.544972199,4.9860086492,22.68125159,11150,11150,Alabama,,,,,,,,
11150,01027,,Clay,,,,,,137585,10400,7.5589635498,6860,41606,30.24021514,31206,48466,17260,35.226223789,12.544972199,4.9860086492,22.68125159,11150,11150,Alabama,,,,,,,,
11150,01029,,Cleburne,,,,,,137585,10400,7.5589635498,6860,41606,30.24021514,31206,48466,17260,35.226223789,12.544972199,4.9860086492,22.68125159,11150,11150,Alabama,,,,,,,,
