l30_4,county,Total,units_no_USDA,per100_no_USDA,abbrev,countyname,population,state_flag,Gap_No_USDA,Units,Gap,per100,All_HUD,All_HUD_noPH,PH,over_flag,Units_No_HUD,Unitsnoasst,eli,gap_no_hud,gap_no_assisted,per100_no_HUD,per100_no_assisted,ST_Total,ST_Gap_No_assisted,ST_eli,eli_TPaff_noPH,ST_Per100_No_Assisted,ST_Unitsnoasst,puh_1_total,ST_Units_no_USDA,ST_Per100_No_USDA,ST_population,ST_Units_No_HUD,ST_Units,ST_Gap_No_HUD,ST_Gap_No_USDA,ST_Gap,ST_per100,ST_per100_No_HUD,MinEli,MaxEli,min_max_same,USDA
,National,8165441,4623662,56.624767725,,,,0,3541779,4623662,3541779,56.624767725,2090354,1613640,476714,0,2553096,2553096,2070566,5612345,5612345,31.267092616,31.267092616,,,,,,,,,,,,,,,,,,,,,
14350,01001,,,,AL,Autauga County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
13000,01003,1581,1102,69.702719798,AL,Baldwin County,191205,0,479,1102,479,69.702719798,441,344,97,0,663,663,439,918,918,41.935483871,41.935483871,,,,,,,,,,,,,,,,,,,,,
11150,01005,,,,AL,Barbour County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01007,,,,AL,Bibb County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
14950,01009,,,,AL,Blount County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01011,,,,AL,Bullock County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01013,,,,AL,Butler County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01015,2822,1784,63.217576187,AL,Calhoun County,117186,0,1038,1784,1038,63.217576187,864,408,456,0,921,921,863,1901,1901,32.636428065,32.636428065,,,,,,,,,,,,,,,,,,,,,
11150,01017,979.57804569,659.92861675,67.3686614,AL,Chambers County,34091,0,319.64942893,659.92861675,319.64942893,67.3686614,187,18,169,0,472.92861675,472.92861675,187,506.64942893,506.64942893,48.278809313,48.278809313,,,,,,,,,,,,,,,,,,,,,
