l30_4,county,Total,units_no_USDA,per100_no_USDA,abbrev,countyname,population,usda,state_flag,Gap_No_USDA,Units,Gap,per100,All_HUD,All_HUD_noPH,PH,over_flag,Units_No_HUD,Unitsnoasst,eli,gap_no_hud,gap_no_assisted,per100_no_HUD,per100_no_assisted,ST_Total,ST_Gap_No_assisted,ST_eli,eli_TPaff_noPH,ST_Per100_No_Assisted,ST_Unitsnoasst,puh_1_total,ST_Units_no_USDA,ST_Per100_No_USDA,ST_usda,ST_population,ST_Units_No_HUD,ST_Units,ST_Gap_No_HUD,ST_Gap_No_USDA,ST_Gap,ST_per100,ST_per100_No_HUD,ST_over_flag,MinEli,MaxEli,min_max_same
14300,01029,,,,AL,Cleburne County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
17300,01031,1860.482588,964.53054234,51.84302979,AL,Coffee County,50726,107,0,895.95204567,1071.5305423,788.95204567,57.59422578,537,352,185,0,534.53054234,427.53054234,537,1325.9520457,1432.9520457,28.730746839,22.979550849,,,,,,,,,,,,,,,,,,,,,,
16100,01033,1567.0743978,1032.6564698,65.89709278,AL,Colbert County,54491,45,0,534.41792795,1077.6564698,489.41792795,68.768685862,838,396,442,0,239.65646984,194.65646984,838,1327.4179279,1372.4179279,15.293241353,12.421648271,,,,,,,,,,,,,,,,,,,,,,
14300,01035,,,,AL,Conecuh County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
14350,01037,,,,AL,Coosa County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
14300,01039,1402.0898192,621.61294006,44.334744575,AL,Covington County,37881,123,0,780.47687916,744.61294006,657.47687916,53.107363726,354,160,194,0,390.61294006,267.61294006,354,1011.4768792,1134.4768792,27.859337876,19.086718724,,,,,,,,,,,,,,,,,,,,,,
14300,01041,,,,AL,Crenshaw County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
15500,01043,3045.0878825,1570.8996328,51.587990016,AL,Cullman County,80668,160,0,1474.1882497,1730.8996328,1314.1882497,56.842353968,436,147,289,0,1296.8996328,1136.8996328,434,1748.1882497,1908.1882497,42.589891749,37.335527797,,,,,,,,,,,,,,,,,,,,,,
15500,01045,1289.0488763,781.39403406,60.617874807,AL,Dale County,50013,179,0,507.65484229,960.39403406,328.65484229,74.504082171,625,303,322,0,335.39403406,156.39403406,625,953.65484229,1132.6548423,26.018721262,12.132513897,,,,,,,,,,,,,,,,,,,,,,
14300,01047,2685.8049672,1944.4229773,72.396283461,AL,Dallas County,42743,13,0,741.38198994,1957.4229773,728.38198994,72.880309671,1366,966,400,0,591.4229773,578.4229773,1366,2094.3819899,2107.3819899,22.020324801,21.53629859,,,,,,,,,,,,,,,,,,,,,,
14300,01049,1438.1203861,925.20897217,64.334598208,AL,DeKalb County,71074,141,0,512.91141397,1066.2089722,371.91141397,74.139062519,545,163,382,0,521.20897217,380.20897217,545,916.91141397,1057.911414,36.242374227,26.437909916,,,,,,,,,,,,,,,,,,,,,,
18050,01051,1821.4082058,867.32023644,47.618114032,AL,Elmore County,80321,149,0,954.0879694,1016.3202364,805.0879694,55.798597655,158,98,60,0,858.32023644,709.32023644,158,963.0879694,1112.0879694,47.12399086,38.943507236,,,,,,,,,,,,,,,,,,,,,,
14300,01053,2282.5028026,981.8374507,43.015826731,AL,Escambia County,38042,220,0,1300.6653519,1201.8374507,1080.6653519,52.654369114,237,139,98,0,964.8374507,744.8374507,237,1317.6653519,1537.6653519,42.271030275,32.632487892,,,,,,,,,,,,,,,,,,,,,,
14300,01055,1328,988,74.397590361,AL,Etowah County,104126,55,0,340,1043,285,78.539156627,1222,520,702,0,-179,-234,1222,1507,1562,-13.47891566,-17.62048193,,,,,,,,,,,,,,,,,,,,,,
14300,01057,,,,AL,Fayette County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
14300,01059,,,,AL,Franklin County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
15550,01061,605.00171319,360.52927542,59.591447026,AL,Geneva County,26816,45,0,244.47243777,405.52927542,199.47243777,67.029442492,306,136,170,0,99.529275421,54.529275421,306,505.47243777,550.47243777,16.451073319,9.0130778528,,,,,,,,,,,,,,,,,,,,,,
16950,01063,,,,AL,Greene County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
16950,01065,,,,AL,Hale County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
14500,01067,,,,AL,Henry County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
15550,01069,2877.5583997,1841.924418,64.009975201,AL,Houston County,103079,26,0,1035.6339817,1867.924418,1009.6339817,64.913518983,1397,774,623,0,470.92441802,444.92441802,1397,2406.6339817,2432.6339817,16.365416531,15.461872748,,,,,,,,,,,,,,,,,,,,,,
14400,01071,1344.8796139,855.79102783,63.6332813,AL,Jackson County,53012,354,0,489.08858603,1209.7910278,135.08858603,89.955339895,435,143,292,0,774.79102783,420.79102783,435,570.08858603,924.08858603,57.610437384,31.288378788,,,,,,,,,,,,,,,,,,,,,,
18850,01073,18148,14892,82.05862905,AL,Jefferson County,658834,121,0,3256,15013,3135,82.725369187,13724,8216,5508,0,1293,1172,13720,16855,16976,7.1247520388,6.4580119021,,,,,,,,,,,,,,,,,,,,,,
14300,01075,,,,AL,Lamar County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
16100,01077,3467.6098913,2286.7884246,65.947107556,AL,Lauderdale County,92780,127,0,1180.8214666,2413.7884246,1053.8214666,69.609572597,1341,878,463,0,1072.7884246,945.78842464,1341,2394.8214666,2521.8214666,30.937402369,27.274937328,,,,,,,,,,,,,,,,,,,,,,
16750,01079,,,,AL,Lawrence County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
18400,01081,9084,3031,33.366358432,AL,Lee County,147790,16,0,6053,3047,6037,33.542492294,1479,754,725,0,1568,1552,1479,7516,7532,17.26111845,17.084984588,,,,,,,,,,,,,,,,,,,,,,
21500,01083,3697.6421801,1659.6966825,44.88527017,AL,Limestone County,87167,79,0,2037.9454976,1738.6966825,1958.9454976,47.021766785,624,336,288,0,1114.6966825,1035.6966825,624,2582.9454976,2661.9454976,30.146147955,28.009651341,,,,,,,,,,,,,,,,,,,,,,
18050,01085,,,,AL,Lowndes County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
14300,01087,,,,AL,Macon County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
21500,01089,9486.1032008,4811.0810953,50.717149007,AL,Madison County,343229,1,0,4675.0221055,4812.0810953,4674.0221055,50.727690743,3552,1882,1670,0,1287.0810953,1286.0810953,3525,8199.0221055,8200.0221055,13.568069713,13.557527976,,,,,,,,,,,,,,,,,,,,,,
14300,01091,,,,AL,Marengo County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
14300,01093,,,,AL,Marion County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
15400,01095,3694.2546191,2357.2222222,63.807789805,AL,Marshall County,94121,204,0,1337.0323969,2561.2222222,1133.0323969,69.329878049,1325,776,549,0,1237.2222222,1033.2222222,1324,2457.0323969,2661.0323969,33.490442587,27.968354344,,,,,,,,,,,,,,,,,,,,,,
15550,01097,7835,7960,101.59540523,AL,Mobile County,414045,254,0,-125,8214,-379,100,7757,5736,2021,1,457,203,7757,7378,7632,5.8328015316,2.5909380983,,,,,,,,,,,,,,,,,,,,,,
14300,01099,,,,AL,Monroe County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
18050,01101,8266.7402643,5289.6476008,63.987102918,AL,Montgomery County,228850,0,0,2977.0926634,5289.6476008,2977.0926634,63.987102918,3853,2723,1130,0,1436.6476008,1436.6476008,3853,6830.0926634,6830.0926634,17.378646902,17.378646902,,,,,,,,,,,,,,,,,,,,,,
16750,01103,3181.9125775,2025.4397923,63.654790728,AL,Morgan County,119744,54,0,1156.4727851,2079.4397923,1102.4727851,65.351883237,1238,685,553,0,855.43979233,801.43979233,1224,2326.4727851,2380.4727851,26.88445303,25.18736052,,,,,,,,,,,,,,,,,,,,,,
14300,01105,,,,AL,Perry County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
14300,01107,1480.1830508,798.48813559,53.945228946,AL,Pickens County,19629,213,0,681.69491525,1011.4881356,468.69491525,68.335341025,273,85,188,0,738.48813559,525.48813559,273,741.69491525,954.69491525,49.891676247,35.501564168,,,,,,,,,,,,,,,,,,,,,,
14300,01109,1509.7792236,843.68358274,55.881255322,AL,Pike County,33216,135,0,666.09564086,978.68358274,531.09564086,64.822960036,616,303,313,0,362.68358274,227.68358274,616,1147.0956409,1282.0956409,24.022292602,15.080587889,,,,,,,,,,,,,,,,,,,,,,
14300,01111,,,,AL,Randolph County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
15700,01113,2157.4790718,1227.6384732,56.901524064,AL,Russell County,56980,39,0,929.84059857,1266.6384732,890.84059857,58.70918934,1112,455,657,0,154.63847322,115.63847322,1112,2002.8405986,2041.8405986,7.167553801,5.3598885259,,,,,,,,,,,,,,,,,,,,,,
18850,01115,2382.9256796,1210.9123771,50.816204109,AL,St. Clair County,85242,58,0,1172.0133025,1268.9123771,1114.0133025,53.250186859,222,128,94,0,1046.9123771,988.9123771,222,1336.0133025,1394.0133025,43.933908055,41.499925305,,,,,,,,,,,,,,,,,,,,,,
18850,01117,3815,1190,31.19266055,AL,Shelby County,201168,59,0,2625,1249,2566,32.739187418,340,78,262,0,909,850,340,2906,2965,23.826998689,22.280471822,,,,,,,,,,,,,,,,,,,,,,
14300,01119,,,,AL,Sumter County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
14300,01121,2162.6529108,1332.0991894,61.595607077,AL,Talladega County,81673,296,0,830.55372144,1628.0991894,534.55372144,75.282500545,1129,273,856,0,499.09918939,203.09918939,1129,1663.5537214,1959.5537214,23.078099444,9.3912059754,,,,,,,,,,,,,,,,,,,,,,
15450,01123,1594.3886139,794.33044554,49.820378711,AL,Tallapoosa County,41295,44,0,800.05816832,838.33044554,756.05816832,52.580057224,551,176,375,0,287.33044554,243.33044554,551,1307.0581683,1351.0581683,18.021355838,15.261677324,,,,,,,,,,,,,,,,,,,,,,
16950,01125,8143.8169492,4616.5118644,56.687323564,AL,Tuscaloosa County,198670,0,0,3527.3050847,4616.5118644,3527.3050847,56.687323564,2715,1883,832,0,1902.5118644,1902.5118644,2714,6241.3050847,6241.3050847,23.361427157,23.361427157,,,,,,,,,,,,,,,,,,,,,,
14600,01127,2335.7293535,1301.8289287,55.735435563,AL,Walker County,66211,58,0,1033.9004247,1359.8289287,975.90042473,58.218599973,700,435,265,0,669.82892874,611.82892874,690,1665.9004247,1723.9004247,28.677506139,26.19434173,,,,,,,,,,,,,,,,,,,,,,
16150,01129,,,,AL,Washington County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
14300,01131,,,,AL,Wilcox County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
14300,01133,,,,AL,Winston County,,,,,,,,,,,,,,,,,,,149455,96484,34175,34260,35.442775417,52971,25995,87146,58.309190057,7073,4817678,60044,94219,89411,62309,55236,63.041718243,40.175303603,0,14300,18850,
21350,02013,,,,AK,Aleutians East Borough,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
26100,02016,,,,AK,Aleutians West Census Area,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
25550,02020,8010,2934,36.629213483,AK,Anchorage Municipality,298178,41,0,5076,2975,5035,37.141073658,926,582,344,0,2067,2026,908,5943,5984,25.805243446,25.293383271,,,,,,,,,,,,,,,,,,,,,,
23700,02050,,,,AK,Bethel Census Area,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
23800,02060,,,,AK,Bristol Bay Borough,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
29350,02068,,,,AK,Denali Borough,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
21350,02070,,,,AK,Dillingham Census Area,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
25400,02090,2912.5977383,1211.3998384,41.591731756,AK,Fairbanks North Star Borough,99319,28,0,1701.1978998,1239.3998384,1673.1978998,42.553072886,423,311,112,0,816.39983845,788.39983845,423,2096.1978998,2124.1978998,28.029955106,27.068613976,,,,,,,,,,,,,,,,,,,,,,
21350,02100,,,,AK,Haines Borough,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
28250,02110,,,,AK,Juneau City and Borough,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
22300,02122,1270.2550585,360.14832003,28.352441317,AK,Kenai Peninsula Borough,56687,187,0,910.10673844,547.14832003,723.10673844,43.073894206,57,57,0,0,490.14832003,303.14832003,57,780.10673844,967.10673844,38.586606427,23.865153538,,,,,,,,,,,,,,,,,,,,,,
21350,02150,372.592711,153.49360614,41.196083983,AK,Kodiak Island Borough,13924,29,0,219.09910486,182.49360614,190.09910486,48.979381709,12,1,11,0,170.49360614,141.49360614,12,202.09910486,231.09910486,45.758706788,37.975409062,,,,,,,,,,,,,,,,,,,,,,
21350,02164,,,,AK,Lake and Peninsula Borough,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
24950,02170,1725.7449415,465.85167997,26.994237025,AK,Matanuska-Susitna Borough,93843,384,0,1259.8932616,849.85167997,875.89326156,49.24549738,89,67,22,0,773.85167997,389.85167997,76,951.89326156,1335.8932616,44.841602102,22.590341747,,,,,,,,,,,,,,,,,,,,,,
21450,02180,,,,AK,Nome Census Area,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
23000,02185,,,,AK,North Slope Borough,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
21350,02188,,,,AK,Northwest Arctic Borough,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
22700,02220,533.58088235,221.38235294,41.489933441,AK,Sitka City and Borough,8957,33,0,312.19852941,254.38235294,279.19852941,47.674562818,16,3,13,0,238.38235294,205.38235294,16,295.19852941,328.19852941,44.675954635,38.491325258,,,,,,,,,,,,,,,,,,,,,,
21350,02240,,,,AK,Southeast Fairbanks Census Area,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
22150,02261,,,,AK,Valdez-Cordova Census Area,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
21350,02270,,,,AK,Wade Hampton Census Area,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
23750,02282,,,,AK,Yakutat City and Borough,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
21350,02290,,,,AK,Yukon-Koyukuk Census Area,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
22375,02999,,,,,,,,,,,,,,,,,,,,,,,,17669,12501,1188,1219,29.248967118,5168,806,6356,35.972607391,878,699551,6046,7234,11623,11313,10435,40.941762409,34.218122135,0,21350,29350,
14050,04001,884.33914126,471.57498444,53.325128612,AZ,Apache County,72142,558,0,412.76415681,1029.5749844,-145.2358432,100,65,65,0,1,964.57498444,406.57498444,65,-80.23584319,477.76415681,109.07297206,45.975007265,,,,,,,,,,,,,,,,,,,,,,
16750,04003,4319.2470588,2418.5380805,55.994437168,AZ,Cochise County,130807,693,0,1900.7089783,3111.5380805,1207.7089783,72.038900256,750,750,0,0,2362.5380805,1669.5380805,749,1956.7089783,2649.7089783,54.697914899,38.653451811,,,,,,,,,,,,,,,,,,,,,,
18850,04005,4261,1244,29.195024642,AZ,Coconino County,135817,296,0,3017,1540,2721,36.141750763,539,351,188,0,1001,705,539,3260,3556,23.492137996,16.545411875,,,,,,,,,,,,,,,,,,,,,,
14650,04007,2404.3428803,936.39367738,38.945929262,AZ,Gila County,53242,388,0,1467.9492029,1324.3936774,1079.9492029,55.083394645,61,61,0,0,1263.3936774,875.39367738,61,1140.9492029,1528.9492029,52.546318902,36.408853519,,,,,,,,,,,,,,,,,,,,,,
15100,04009,,,,AZ,Graham County,,,,,,,,,,,,,,,,,,,197708,163681,23843,23951,17.210735023,34027,4488,57870,29.270439234,6330,6561516,40357,64200,157351,139838,133508,32.472130617,20.412426407,0,14050,16700,
16700,04011,,,,AZ,Greenlee County,,,,,,,,,,,,,,,,,,,197708,163681,23843,23951,17.210735023,34027,4488,57870,29.270439234,6330,6561516,40357,64200,157351,139838,133508,32.472130617,20.412426407,0,14050,16700,
14050,04012,,,,AZ,La Paz County,,,,,,,,,,,,,,,,,,,197708,163681,23843,23951,17.210735023,34027,4488,57870,29.270439234,6330,6561516,40357,64200,157351,139838,133508,32.472130617,20.412426407,0,14050,16700,
19900,04013,121368,31864,26.254037308,AZ,Maricopa County,3947382,488,0,89504,32352,89016,26.656120229,17221,14677,2544,0,15216,14728,17136,106152,106640,12.537077319,12.134994397,,,,,,,,,,,,,,,,,,,,,,
15350,04015,5252.464106,1987.9993291,37.848889378,AZ,Mohave County,202482,522,0,3264.4647769,2509.9993291,2742.4647769,47.787081995,270,270,0,0,2239.9993291,1717.9993291,270,3012.4647769,3534.4647769,42.646637538,32.708444921,,,,,,,,,,,,,,,,,,,,,,
14050,04017,2556.6608587,1281.4250156,50.121040152,AZ,Navajo County,107489,390,0,1275.2358432,1671.4250156,885.23584319,65.375312093,142,106,36,0,1529.4250156,1139.4250156,142,1027.2358432,1417.2358432,59.821192566,44.566920625,,,,,,,,,,,,,,,,,,,,,,
18100,04019,38012,12144,31.947805956,AZ,Pima County,993144,254,0,25868,12398,25614,32.616015995,6756,5538,1218,0,5662,5408,6736,32350,32604,14.895296222,14.227086183,,,,,,,,,,,,,,,,,,,,,,
19900,04021,5345.4690624,2486.9459606,46.524372913,AZ,Pinal County,390160,1348,0,2858.5231019,3834.9459606,1510.5231019,71.741991503,675,570,105,0,3161.9459606,1813.9459606,673,2183.5231019,3531.5231019,59.15188964,33.93427105,,,,,,,,,,,,,,,,,,,,,,
14050,04023,1532.7529412,755.4619195,49.287911914,AZ,Santa Cruz County,47250,163,0,777.29102167,918.4619195,614.29102167,59.922372016,336,163,173,0,582.4619195,419.4619195,336,950.29102167,1113.2910217,38.001030946,27.366570844,,,,,,,,,,,,,,,,,,,,,,
17300,04025,6225,1461,23.469879518,AZ,Yavapai County,213689,758,0,4764,2219,4006,35.646586345,340,340,0,0,1879,1121,340,4346,5104,30.184738956,18.008032129,,,,,,,,,,,,,,,,,,,,,,
14050,04027,3889,2058,52.918488043,AZ,Yuma County,201453,250,0,1831,2308,1581,59.346875804,1250,1026,224,0,1058,808,1250,2831,3081,27.204937002,20.776549241,,,,,,,,,,,,,,,,,,,,,,
14950,05001,,,,AR,Arkansas County,,,,,,,,,,,,,,,,,,,90878,65746,21362,21468,27.654657893,25132,8547,46494,51.160897027,5113,2947036,30245,51607,60633,44384,39271,56.787121195,33.280882062,0,13150,18700,
