l30_4,county,Total,countyname,usda,state_flag,hud,USDAper100,hudper100,ST_Total,ST_Unitsnoasst,ST_per100_No_Assisted,ST_usda,ST_Units_no_USDA,ST_Per100_No_USDA,ST_hud,ST_Units,ST_Units_No_HUD,ST_per100,ST_per100_No_HUD,ST_USDAper100,ST_Hudper100,MinEli,MaxEli,State_Name,Unitsnoasst,units,Units_no_usda,Per100_No_USDA,Units_No_HUD,Per100_No_HUD,per100,per100_no_assisted
17300,01001,1060.8122695,Autauga County,25,0,133,2.3566846574,12.537562378,,,,,,,,,,,,,,,,Alabama,171.30316595,329.30316595,304.30316595,28.685864097,196.30316595,18.504986376,31.042548754,16.148301719
17450,01003,3229,Baldwin County,181,0,410,5.6054506039,12.697429545,,,,,,,,,,,,,,,,Alabama,602,1193,1012,31.340972437,783,24.248993496,36.946423041,18.643542893
14050,01005,1282.0198619,Barbour County,203,0,423,15.834388065,32.994808627,,,,,,,,,,,,,,,,Alabama,154.74392635,780.74392635,577.74392635,45.065130699,357.74392635,27.904710136,60.899518763,12.070322071
18250,01007,443.48599787,Bibb County,178,0,64,40.136554672,14.431120781,,,,,,,,,,,,,,,,Alabama,0,242,64,14.431120781,178,40.136554672,54.567675453,0
18250,01009,777.43265483,Blount County,106,0,300,13.634621512,38.58855145,,,,,,,,,,,,,,,,Alabama,56.463404071,462.46340407,356.46340407,45.851354694,162.46340407,20.897424756,59.485976206,7.2628032435
14050,01013,760.53362885,Butler County,191,0,229,25.113945361,30.110437108,,,,,,,,,,,,,,,,Alabama,55.617935385,475.61793538,284.61793538,37.423451717,246.61793538,32.42695997,62.537397078,7.3130146091
15300,01015,3747,Calhoun County,54,0,1089,1.4411529223,29.0632506,,,,,,,,,,,,,,,,Alabama,516,1659,1605,42.834267414,570,15.212169736,44.275420336,13.771016813
14050,01017,1117.1523688,Chambers County,67,0,321,5.9973913921,28.733770699,,,,,,,,,,,,,,,,Alabama,201.03841229,589.03841229,522.03841229,46.729383287,268.03841229,23.993003979,52.726774679,17.995612587
14100,01019,442.92304784,Cherokee County,79,0,126,17.836055357,28.44737943,,,,,,,,,,,,,,,,Alabama,50.862355833,255.86235583,176.86235583,39.930718597,129.86235583,29.319394524,57.766773954,11.483339167
15200,01021,1089.4852753,Chilton County,113,0,101,10.371870328,9.2704327714,,,,,,,,,,,,,,,,Alabama,356.54950918,570.54950918,457.54950918,41.996851133,469.54950918,43.09828869,52.368721461,32.726418361
14050,01025,692.58208632,Clarke County,209,0,61,30.176928357,8.8076202381,,,,,,,,,,,,,,,,Alabama,134.36261115,404.36261115,195.36261115,28.207863733,343.36261115,49.577171852,58.38479209,19.400243495
15450,01031,1542.9985795,Coffee County,94,0,348,6.0920341241,22.553488034,,,,,,,,,,,,,,,,Alabama,503.64867424,945.64867424,851.64867424,55.194391332,597.64867424,38.732937422,61.286425456,32.640903298
15700,01033,2053.8369162,Colbert County,45,0,683,2.1910210905,33.254831219,,,,,,,,,,,,,,,,Alabama,174.75315048,902.75315048,857.75315048,41.763449849,219.75315048,10.69963972,43.954470939,8.5086186299
14050,01039,975.42471591,Covington County,115,0,297,11.789736114,30.448275008,,,,,,,,,,,,,,,,Alabama,159.37973485,571.37973485,456.37973485,46.787796885,274.37973485,28.129257991,58.577533,16.339521877
15050,01043,2434.576178,Cullman County,160,0,347,6.5719857708,14.25299414,,,,,,,,,,,,,,,,Alabama,392.20689655,899.20689655,739.20689655,30.362857536,552.20689655,22.681849167,36.934843307,16.109863396
14500,01045,1313.0045395,Dale County,175,0,607,13.328209823,46.229847785,,,,,,,,,,,,,,,,Alabama,37.25567433,819.25567433,644.25567433,49.067284611,212.25567433,16.165646649,62.395494433,2.837436826
14050,01047,3094.8532435,Dallas County,15,0,967,0.4846756476,31.245423415,,,,,,,,,,,,,,,,Alabama,1087.2171216,2069.2171216,2054.2171216,66.37526758,1102.2171216,35.614519813,66.859943227,35.129844165
14050,01049,1393.7066667,DeKalb County,140,0,442,10.045155365,31.71399051,,,,,,,,,,,,,,,,Alabama,297.91466667,879.91466667,739.91466667,53.089698454,437.91466667,31.420863309,63.134853819,21.375707944
17300,01051,1363.6137465,Elmore County,136,0,121,9.9734987531,8.8734805083,,,,,,,,,,,,,,,,Alabama,162.44982915,419.44982915,283.44982915,20.78666557,298.44982915,21.886683815,30.760164324,11.913185062
14050,01053,1692.0043375,Escambia County,225,0,205,13.297838251,12.115808185,,,,,,,,,,,,,,,,Alabama,617.10106268,1047.1010627,822.10106268,48.587408701,842.10106268,49.769438768,61.885246952,36.471600516
14200,01055,2738,Etowah County,52,0,1018,1.8991964938,37.180423667,,,,,,,,,,,,,,,,Alabama,405,1475,1423,51.972242513,457,16.69101534,53.871439007,14.791818846
14050,01059,1107.4079602,Franklin County,142,0,354,12.822736074,31.966539227,,,,,,,,,,,,,,,,Alabama,248.28109453,744.28109453,602.28109453,54.386559983,390.28109453,35.24275683,67.209296057,22.420020756
15350,01061,619.57670455,Geneva County,41,0,226,6.6174211682,36.476516683,,,,,,,,,,,,,,,,Alabama,131.97159091,398.97159091,357.97159091,57.776799593,172.97159091,27.917704078,64.394220761,21.300282909
15350,01069,2968.9954605,Houston County,27,0,940,0.9093984938,31.660540156,,,,,,,,,,,,,,,,Alabama,523.74432567,1490.7443257,1463.7443257,49.300995745,550.74432567,18.549854083,50.210394239,17.640455589
14150,01071,1426.2933333,Jackson County,357,0,342,25.02991437,23.978237296,,,,,,,,,,,,,,,,Alabama,205.08533333,904.08533333,547.08533333,38.357140186,562.08533333,39.408817261,63.387054556,14.37890289
18250,01073,24762,Jefferson County,123,0,7498,0.4967288587,30.280268153,,,,,,,,,,,,,,,,Alabama,3301,10922,10799,43.611178419,3424,13.827639124,44.107907277,13.330910266
15700,01077,3851.1630838,Lauderdale County,122,0,997,3.1678741551,25.888283054,,,,,,,,,,,,,,,,Alabama,577.24684952,1696.2468495,1574.2468495,40.877179576,699.24684952,18.156770677,44.045053731,14.988896522
16550,01079,713.74435003,Lawrence County,105,0,159,14.711149727,22.276883872,,,,,,,,,,,,,,,,Alabama,49.708190201,313.7081902,208.7081902,29.241308907,154.7081902,21.675574762,43.952458634,6.9644250352
18500,01081,8112,Lee County,7,0,1081,0.0862919132,13.325936884,,,,,,,,,,,,,,,,Alabama,1362,2450,2443,30.115877712,1369,16.876232742,30.202169625,16.789940828
20250,01083,1668.2482676,Limestone County,78,0,476,4.6755630751,28.532923381,,,,,,,,,,,,,,,,Alabama,276.2154057,830.2154057,752.2154057,45.090135582,354.2154057,21.232775276,49.765698657,16.557212201
14050,01087,1165.2574376,Macon County,79,0,377,6.779617744,32.35336569,,,,,,,,,,,,,,,,Alabama,248.47063336,704.47063336,625.47063336,53.676605118,327.47063336,28.102857172,60.456222862,21.323239428
20250,01089,10536.751732,Madison County,0,0,2367,0,22.464228636,,,,,,,,,,,,,,,,Alabama,2748.7845943,5115.7845943,5115.7845943,48.551818665,2748.7845943,26.087590029,48.551818665,26.087590029
14050,01091,932.59376108,Marengo County,130,0,246,13.939617165,26.378044789,,,,,,,,,,,,,,,,Alabama,120.84739454,496.84739454,366.84739454,39.336247984,250.84739454,26.89782036,53.275865149,12.958203195
14050,01093,937.35655058,Marion County,185,0,385,19.736353246,41.07295135,,,,,,,,,,,,,,,,Alabama,43.361525705,613.3615257,428.3615257,45.698888586,228.3615257,24.362290482,65.435241832,4.6259372357
14650,01095,3070.1360077,Marshall County,192,0,981,6.2537946045,31.952981807,,,,,,,,,,,,,,,,Alabama,227.37931034,1400.3793103,1208.3793103,39.359145892,419.37931034,13.659958689,45.612940496,7.4061640844
14850,01097,14981,Mobile County,239,0,4817,1.5953541152,32.154061812,,,,,,,,,,,,,,,,Alabama,1674,6730,6491,43.32821574,1913,12.769508044,44.923569855,11.174153928
14050,01099,912.84949035,Monroe County,102,0,136,11.17380259,14.898403454,,,,,,,,,,,,,,,,Alabama,297.69312514,535.69312514,433.69312514,47.509817305,399.69312514,43.785216442,58.683619896,32.611413851
17300,01101,9672.573984,Montgomery County,0,0,2743,0,28.358532119,,,,,,,,,,,,,,,,Alabama,727.2470049,3470.2470049,3470.2470049,35.877182337,727.2470049,7.5186502176,35.877182337,7.5186502176
16550,01103,3577.25565,Morgan County,53,0,1004,1.4815826764,28.066207681,,,,,,,,,,,,,,,,Alabama,820.2918098,1877.2918098,1824.2918098,50.996964945,873.2918098,24.41233994,52.478547621,22.930757264
14050,01109,1949.4591254,Pike County,126,0,551,6.463331206,28.264249956,,,,,,,,,,,,,,,,Alabama,626.71153354,1303.7115335,1177.7115335,60.412219892,752.71153354,38.611301142,66.875551098,32.147969936
14050,01111,411.45017962,Randolph County,96,0,101,23.332107933,24.547321888,,,,,,,,,,,,,,,,Alabama,37.249952732,234.24995273,138.24995273,33.600654364,133.24995273,32.385440409,56.932762297,9.0533324756
15300,01113,2852.7900435,Russell County,38,0,784,1.3320293264,27.481868208,,,,,,,,,,,,,,,,Alabama,961.48802319,1783.4880232,1745.4880232,61.185295678,999.48802319,35.035456797,62.517325005,33.70342747
18250,01115,1372.7639671,St. Clair County,62,0,161,4.5164355626,11.728163316,,,,,,,,,,,,,,,,Alabama,581.9714162,804.9714162,742.9714162,54.122298808,643.9714162,46.910571055,58.638734371,42.394135492
18250,01117,1966,Shelby County,57,0,279,2.8992878942,14.191251272,,,,,,,,,,,,,,,,Alabama,297,633,576,29.298067141,354,18.006103764,32.197355036,15.10681587
14400,01121,2675.9614294,Talladega County,285,0,932,10.650377725,34.828603648,,,,,,,,,,,,,,,,Alabama,298.48383437,1515.4838344,1230.4838344,45.982868843,583.48383437,21.804642921,56.633246568,11.154265196
14650,01123,1186.6939821,Tallapoosa County,45,0,424,3.7920475438,35.729514635,,,,,,,,,,,,,,,,Alabama,248.45646607,717.45646607,672.45646607,56.666375344,293.45646607,24.728908253,60.458422888,20.936860709
16500,01125,10151,Tuscaloosa County,0,0,2203,0,21.70229534,,,,,,,,,,,,,,,,Alabama,1426,3629,3629,35.750172397,1426,14.047877056,35.750172397,14.047877056
14050,01127,1892.8033781,Walker County,53,0,466,2.8000795335,24.619567219,,,,,,,,,,,,,,,,Alabama,607.56517973,1126.5651797,1073.5651797,56.718262032,660.56517973,34.898774346,59.518341565,32.098694812
14050,01133,815.28781426,Winston County,95,0,213,11.652326741,26.125743115,,,,,,,,,,,,,,,,Alabama,0,308,213,26.125743115,95,11.652326741,37.778069856,0
14050,01011,,Bullock County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
14050,01023,,Choctaw County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
14050,01027,,Clay County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
14400,01029,,Cleburne County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
14050,01035,,Conecuh County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
14050,01037,,Coosa County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
14050,01041,,Crenshaw County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
14050,01057,,Fayette County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
16500,01063,,Greene County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
16500,01065,,Hale County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
14300,01067,,Henry County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
14050,01075,,Lamar County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
17300,01085,,Lowndes County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
14050,01105,,Perry County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
14050,01107,,Pickens County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
14050,01119,,Sumter County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
14500,01129,,Washington County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
14050,01131,,Wilcox County,,,,,,157647,5492,3.4837326432,6965,47374,30.050682855,41882,54339,12457,34.468781518,7.9018313067,4.4180986635,26.566950212,14050,17300,Alabama,,,,,,,,
24250,02020,6377,Anchorage Municipality,39,0,1585,0.6115728399,24.854947467,,,,,,,,,,,,,,,,Alaska,622,2246,2207,34.608750196,661,10.365375568,35.220323036,9.7538027286
22400,02090,2197.5450471,Fairbanks North Star Borough,19,0,415,0.8646011614,18.884709579,,,,,,,,,,,,,,,,Alaska,267.67055132,701.67055132,682.67055132,31.065144819,286.67055132,13.045036401,31.92974598,12.18043524
27450,02110,740.93982519,Juneau City and Borough,23,0,372,3.104165712,50.206506298,,,,,,,,,,,,,,,,Alaska,0,395,372,50.206506298,23,3.104165712,53.31067201,0
21050,02122,1069.3871381,Kenai Peninsula Borough,189,0,148,17.673674319,13.839702642,,,,,,,,,,,,,,,,Alaska,54.184473482,391.18447348,202.18447348,18.906574268,243.18447348,22.740545946,36.580248588,5.0668716269
21850,02170,1053.6128619,Matanuska-Susitna Borough,339,0,116,32.175005854,11.009736517,,,,,,,,,,,,,,,,Alaska,0,455,116,11.009736517,339,32.175005854,43.184742371,0
21050,02013,,Aleutians East Borough,,,,,,13883.787427,330,2.3768730379,780,3118,22.457848886,2788,3898,1110,28.07591243,7.9949365821,5.6180635442,20.080975848,21050,28100,Alaska,,,,,,,,
28100,02016,,Aleutians West Census Area,,,,,,13883.787427,330,2.3768730379,780,3118,22.457848886,2788,3898,1110,28.07591243,7.9949365821,5.6180635442,20.080975848,21050,28100,Alaska,,,,,,,,
23650,02050,,Bethel Census Area,,,,,,13883.787427,330,2.3768730379,780,3118,22.457848886,2788,3898,1110,28.07591243,7.9949365821,5.6180635442,20.080975848,21050,28100,Alaska,,,,,,,,
23200,02060,,Bristol Bay Borough,,,,,,13883.787427,330,2.3768730379,780,3118,22.457848886,2788,3898,1110,28.07591243,7.9949365821,5.6180635442,20.080975848,21050,28100,Alaska,,,,,,,,
27400,02068,,Denali Borough,,,,,,13883.787427,330,2.3768730379,780,3118,22.457848886,2788,3898,1110,28.07591243,7.9949365821,5.6180635442,20.080975848,21050,28100,Alaska,,,,,,,,
21050,02070,,Dillingham Census Area,,,,,,13883.787427,330,2.3768730379,780,3118,22.457848886,2788,3898,1110,28.07591243,7.9949365821,5.6180635442,20.080975848,21050,28100,Alaska,,,,,,,,
21050,02100,,Haines Borough,,,,,,13883.787427,330,2.3768730379,780,3118,22.457848886,2788,3898,1110,28.07591243,7.9949365821,5.6180635442,20.080975848,21050,28100,Alaska,,,,,,,,
22800,02150,,Kodiak Island Borough,,,,,,13883.787427,330,2.3768730379,780,3118,22.457848886,2788,3898,1110,28.07591243,7.9949365821,5.6180635442,20.080975848,21050,28100,Alaska,,,,,,,,
21050,02164,,Lake and Peninsula Borough,,,,,,13883.787427,330,2.3768730379,780,3118,22.457848886,2788,3898,1110,28.07591243,7.9949365821,5.6180635442,20.080975848,21050,28100,Alaska,,,,,,,,
21050,02180,,Nome Census Area,,,,,,13883.787427,330,2.3768730379,780,3118,22.457848886,2788,3898,1110,28.07591243,7.9949365821,5.6180635442,20.080975848,21050,28100,Alaska,,,,,,,,
25000,02185,,North Slope Borough,,,,,,13883.787427,330,2.3768730379,780,3118,22.457848886,2788,3898,1110,28.07591243,7.9949365821,5.6180635442,20.080975848,21050,28100,Alaska,,,,,,,,
21050,02188,,Northwest Arctic Borough,,,,,,13883.787427,330,2.3768730379,780,3118,22.457848886,2788,3898,1110,28.07591243,7.9949365821,5.6180635442,20.080975848,21050,28100,Alaska,,,,,,,,
24200,02220,,Sitka City and Borough,,,,,,13883.787427,330,2.3768730379,780,3118,22.457848886,2788,3898,1110,28.07591243,7.9949365821,5.6180635442,20.080975848,21050,28100,Alaska,,,,,,,,
