l30_4,county,state,units_noUSDA,countyname,pop2011_13,Avg_units_USDA_12_14,state_flag,Avg_ELITotal_12_14,Avg_units_hud_12_14,Avg_Units_No_HUD_USDA_12_14,Avg_Units_No_USDA_12_14,Avg_Units_No_HUD_12_14,Avg_Units_12_14,Gap_12_14,Gap_12_14_No_HUD,Gap_12_14_No_USDA,Gap_12_14_No_HUD_USDA,per100_12_14,per100_No_HUD_12_14,per100_No_USDA_12_14,per100_No_HUD_USDA_12_14,ST_Avg_ELITotal_12_14,ST_Avg_Units_No_HUD_USDA_12_14,ST_Avg_units_hud_12_14,ST_Avg_units_USDA_12_14,ST_Avg_Units_No_HUD_12_14,ST_Avg_Units_No_USDA_12_14,ST_Avg_Units_12_14,ST_Gap_12_14,ST_Gap_12_14_No_HUD,ST_Gap_12_14_No_USDA,ST_Gap_12_14_No_HUD_USDA,ST_per100_12_14,ST_per100_No_HUD_12_14,ST_per100_No_USDA_12_14,ST_per100_No_HUD_USDA_12_14,MinEli,MaxEli,min_max_same
,National,,5262775.8969,,,275895.66667,1,10709991.027,1063786,3586514.9982,4650300.9982,3862410.6649,4926196.6649,5783794.3618,6847580.3618,6059690.0285,7123476.0285,45.99627257,36.063621858,43.420213767,33.487563055,,,,,,,,,,,,,,,,,,1
23850,01001,01,1307.0395107,Autauga County,55263,25.333333333,0,1304.6032773,92.333333333,795.91318758,888.24652091,821.24652091,913.57985425,391.02342305,483.35675638,416.35675638,508.69008971,70.027407577,62.949904788,68.085565656,61.008062867,,,,,,,,,,,,,,,,,,
23850,01003,01,5087.4798277,Baldwin County,190981,184.33333333,0,6031.1807112,205.66666667,3894.4636627,4100.1303294,4078.796996,4284.4636627,1746.7170485,1952.3837152,1931.0503818,2136.7170485,71.038555597,67.628499151,67.982216513,64.572160066,,,,,,,,,,,,,,,,,,
23500,01005,01,1050.4825665,Barbour County,27203,213,0,938.88356475,293,584.89860926,877.89860926,797.89860926,1090.8986093,-152.0150445,140.98495548,60.984955483,353.98495548,116.1910433,84.983765743,93.504524121,62.297246562,,,,,,,,,,,,,,,,,,
23850,01007,01,776.45032139,Bibb County,22648,178.33333333,0,763.47183138,43,582.68611088,625.68611088,761.01944422,804.01944422,-40.54761283,2.4523871659,137.7857205,180.7857205,105.31095073,99.678784853,81.952743397,76.320577516,,,,,,,,,,,,,,,,,,
23850,01009,01,1416.1468568,Blount County,57807,111.33333333,0,1205.3862634,203.33333333,859.72100427,1063.0543376,971.0543376,1174.3876709,30.998592427,234.33192576,142.33192576,345.66525909,97.428327054,80.559598787,88.192006987,71.32327872,,,,,,,,,,,,,,,,,,
23500,01011,01,413.83941721,Bullock County,,,1,,,,,,,,,,,,,,,8376.4710159,6755.3103358,1611,1626,8381.3103358,8366.3103358,9992.3103358,-1615.83932,-4.839319881,10.160680119,1621.1606801,119.29021561,100.05777278,99.878699752,80.646256914,23500,23850,
23500,01013,01,1074.5740227,Butler County,20437,181.33333333,0,1016.2210183,162,737.43875655,899.43875655,918.77208988,1080.7720899,-64.55107154,97.448928455,116.78226179,278.78226179,106.35207011,90.410656078,88.508182799,72.566768768,,,,,,,,,,,,,,,,,,
23850,01015,01,7473.6722343,Calhoun County,117253,38,0,5994.7243552,773.66666667,4066.9352,4840.6018666,4104.9352,4878.6018666,1116.1224886,1889.7891553,1154.1224886,1927.7891553,81.381587835,68.475795662,80.747697138,67.841904965,,,,,,,,,,,,,,,,,,
23500,01017,01,1018.9179047,Chambers County,34077,61.333333333,0,1569.5023031,267,985.66875817,1252.6687582,1047.0020915,1314.0020915,255.50021165,522.50021165,316.83354498,583.83354498,83.720940636,66.709178407,79.813120099,62.801357869,,,,,,,,,,,,,,,,,,
23850,01019,01,939.83770272,Cherokee County,26116,76.666666667,0,881.08173538,100,708.28634349,808.28634349,784.95301016,884.95301016,-3.871274773,96.128725227,72.795391893,172.79539189,100.43937749,89.089692662,91.737952454,80.388267631,,,,,,,,,,,,,,,,,,
23850,01021,01,688.17065997,Chilton County,43846,105.66666667,0,1189.9311158,107,747.29289846,854.29289846,852.95956513,959.95956513,229.97155072,336.97155072,335.63821738,442.63821738,80.673540875,71.68142372,71.793475024,62.801357869,,,,,,,,,,,,,,,,,,
23500,01023,01,459.79492014,Choctaw County,,,1,,,,,,,,,,,,,,,8376.4710159,6755.3103358,1611,1626,8381.3103358,8366.3103358,9992.3103358,-1615.83932,-4.839319881,10.160680119,1621.1606801,119.29021561,100.05777278,99.878699752,80.646256914,23500,23850,
23850,01025,01,1473.4179829,Clarke County,25347,207,0,1136.8149962,2,1027.7615492,1029.7615492,1234.7615492,1236.7615492,-99.94655294,-97.94655294,107.05344706,109.05344706,108.79180458,108.61587446,90.583037045,90.407106924,,,,,,,,,,,,,,,,,,
23500,01027,01,464.07124278,Clay County,,,1,,,,,,,,,,,,,,,8376.4710159,6755.3103358,1611,1626,8381.3103358,8366.3103358,9992.3103358,-1615.83932,-4.839319881,10.160680119,1621.1606801,119.29021561,100.05777278,99.878699752,80.646256914,23500,23850,
23500,01029,01,326.64198523,Cleburne County,,,1,,,,,,,,,,,,,,,8376.4710159,6755.3103358,1611,1626,8381.3103358,8366.3103358,9992.3103358,-1615.83932,-4.839319881,10.160680119,1621.1606801,119.29021561,100.05777278,99.878699752,80.646256914,23500,23850,
23850,01031,01,1955.0907773,Coffee County,50906,109.33333333,0,1867.7803308,249.66666667,1355.3878337,1605.0545004,1464.7211671,1714.3878337,153.39249704,403.05916371,262.72583038,512.39249704,91.787444459,78.420419304,85.933793924,72.566768768,,,,,,,,,,,,,,,,,,
23850,01033,01,3027.4978429,Colbert County,54450,46.333333333,0,2034.7348888,463.66666667,1519.7544857,1983.4211523,1566.087819,2029.7544857,4.9804031294,468.6470698,51.313736463,514.98040313,99.755230858,76.967659405,97.478111928,74.690540475,,,,,,,,,,,,,,,,,,
23500,01035,01,923.299002,Conecuh County,,,1,,,,,,,,,,,,,,,8376.4710159,6755.3103358,1611,1626,8381.3103358,8366.3103358,9992.3103358,-1615.83932,-4.839319881,10.160680119,1621.1606801,119.29021561,100.05777278,99.878699752,80.646256914,23500,23850,
23850,01037,01,92.446462813,Coosa County,,,1,,,,,,,,,,,,,,,8376.4710159,6755.3103358,1611,1626,8381.3103358,8366.3103358,9992.3103358,-1615.83932,-4.839319881,10.160680119,1621.1606801,119.29021561,100.05777278,99.878699752,80.646256914,23500,23850,
23500,01039,01,1267.7912631,Covington County,37932,122,0,1218.0123246,176.33333333,883.87218716,1060.2055205,1005.8721872,1182.2055205,35.806804108,212.14013744,157.80680411,334.14013744,97.060226454,82.583087777,87.043907445,72.566768768,,,,,,,,,,,,,,,,,,
23850,01041,01,623.89530814,Crenshaw County,,,1,,,,,,,,,,,,,,,8376.4710159,6755.3103358,1611,1626,8381.3103358,8366.3103358,9992.3103358,-1615.83932,-4.839319881,10.160680119,1621.1606801,119.29021561,100.05777278,99.878699752,80.646256914,23500,23850,
23850,01043,01,3767.496969,Cullman County,80566,157,0,2757.8998059,261.66666667,2520.1015897,2781.7682564,2677.1015897,2938.7682564,-180.8684505,80.798216167,-23.8684505,237.79821617,106.55819512,97.070299073,100.86545749,91.377561445,,,,,,,,,,,,,,,,,,
23850,01045,01,2564.04165,Dale County,50106,180.66666667,0,2060.19874,409,1406.8224284,1815.8224284,1587.4890951,1996.4890951,63.709644881,472.70964488,244.37631155,653.37631155,96.907597134,77.055143482,88.138216629,68.285762977,,,,,,,,,,,,,,,,,,
23500,01047,01,3965.003835,Dallas County,42618,12.333333333,0,3487.5754664,590.33333333,2661.7377373,3252.0710706,2674.0710706,3264.404404,223.17106248,813.50439581,235.50439581,825.83772914,93.600968219,76.67421383,93.247331905,76.320577516,,,,,,,,,,,,,,,,,,
23500,01049,01,3998.6152108,DeKalb County,71137,136,0,1905.9770452,358.66666667,1732.113535,2090.7802016,1868.113535,2226.7802016,-320.8031564,37.863510217,-184.8031564,173.86351022,116.83142813,98.013433041,109.69598018,90.877985091,,,,,,,,,,,,,,,,,,
23850,01051,01,1601.2533227,Elmore County,80443,150,0,1651.0539401,78,1007.2760258,1085.2760258,1157.2760258,1235.2760258,415.77791437,493.77791437,565.77791437,643.77791437,74.817423934,70.093168832,65.732317969,61.008062867,,,,,,,,,,,,,,,,,,
23500,01053,01,2782.7640027,Escambia County,38094,210.66666667,0,2049.3684822,115.33333333,1852.774755,1968.1080883,2063.4414216,2178.774755,-129.4062728,-14.07293944,81.260393892,196.59372723,106.31444632,100.68669639,96.034856855,90.407106924,,,,,,,,,,,,,,,,,,
23500,01055,01,3752.0908918,Etowah County,104188,52,0,3141.0218774,576,2059.5974306,2635.5974306,2111.5974306,2687.5974306,453.42444676,1029.4244468,505.42444676,1081.4244468,85.564428888,67.226447731,83.9089167,65.570935543,,,,,,,,,,,,,,,,,,
23500,01057,01,1201.9788508,Fayette County,,,1,,,,,,,,,,,,,,,8376.4710159,6755.3103358,1611,1626,8381.3103358,8366.3103358,9992.3103358,-1615.83932,-4.839319881,10.160680119,1621.1606801,119.29021561,100.05777278,99.878699752,80.646256914,23500,23850,
23850,01059,01,1515.1303861,Franklin County,31661,128.33333333,0,991.56181361,274.66666667,740.60287773,1015.2695444,868.93621106,1143.6028777,-152.0410641,122.62560255,-23.70773078,250.95893588,115.33349329,87.633085415,102.39094835,74.690540475,,,,,,,,,,,,,,,,,,
23850,01061,01,1020.3370657,Geneva County,26837,42.666666667,0,792.16785396,204,540.93786314,744.93786314,583.6045298,787.6045298,4.5633241605,208.56332416,47.229990827,251.22999083,99.423944794,73.671826859,94.037880912,68.285762977,,,,,,,,,,,,,,,,,,
23850,01063,01,459.45828157,Greene County,,,1,,,,,,,,,,,,,,,8376.4710159,6755.3103358,1611,1626,8381.3103358,8366.3103358,9992.3103358,-1615.83932,-4.839319881,10.160680119,1621.1606801,119.29021561,100.05777278,99.878699752,80.646256914,23500,23850,
23850,01065,01,482.05589352,Hale County,,,1,,,,,,,,,,,,,,,8376.4710159,6755.3103358,1611,1626,8381.3103358,8366.3103358,9992.3103358,-1615.83932,-4.839319881,10.160680119,1621.1606801,119.29021561,100.05777278,99.878699752,80.646256914,23500,23850,
23850,01067,01,401.22132394,Henry County,,,1,,,,,,,,,,,,,,,8376.4710159,6755.3103358,1611,1626,8381.3103358,8366.3103358,9992.3103358,-1615.83932,-4.839319881,10.160680119,1621.1606801,119.29021561,100.05777278,99.878699752,80.646256914,23500,23850,
23850,01069,01,4892.3959914,Houston County,103112,25.333333333,0,4196.3106372,656.66666667,2865.4827355,3522.1494022,2890.8160688,3547.4827355,648.82790172,1305.4945684,674.16123505,1330.8279017,84.538134618,68.889467886,83.934429709,68.285762977,,,,,,,,,,,,,,,,,,
23850,01071,01,3646.9381548,Jackson County,53078,353.33333333,0,1758.7891144,297.33333333,1598.3521092,1895.6854425,1951.6854425,2249.0187759,-490.2296614,-192.8963281,-136.8963281,160.43700523,127.87313484,110.96756436,107.78355557,90.877985091,,,,,,,,,,,,,,,,,,
23850,01073,01,27739.640365,Jefferson County,658601,122,0,33427.229834,6833.3333333,18857.31554,25690.648873,18979.31554,25812.648873,7614.5809615,14447.914295,7736.5809615,14569.914295,77.220424788,56.778008927,76.855452875,56.413037015,,,,,,,,,,,,,,,,,,
23500,01075,01,938.29399781,Lamar County,,,1,,,,,,,,,,,,,,,8376.4710159,6755.3103358,1611,1626,8381.3103358,8366.3103358,9992.3103358,-1615.83932,-4.839319881,10.160680119,1621.1606801,119.29021561,100.05777278,99.878699752,80.646256914,23500,23850,
23850,01077,01,5635.5332357,Lauderdale County,92693,125,0,3995.1808405,581.33333333,2984.0221627,3565.355496,3109.0221627,3690.355496,304.82534445,886.15867778,429.82534445,1011.1586778,92.370174052,77.819309985,89.241404542,74.690540475,,,,,,,,,,,,,,,,,,
23850,01079,01,397.88827284,Lawrence County,33806,102.33333333,0,632.72235715,40.333333333,417.39707151,457.73040484,519.73040484,560.06373817,72.658618981,112.99195231,174.99195231,215.32528565,88.516508361,82.141937765,72.343011064,65.968440468,,,,,,,,,,,,,,,,,,
23850,01081,01,5046.171563,Lee County,147537,17.333333333,0,9244.7543465,802.66666667,3566.125152,4368.7918187,3583.4584853,4386.125152,4858.6291945,5661.2958611,4875.9625278,5678.6291945,47.444474862,38.762073615,47.256981148,38.574579901,,,,,,,,,,,,,,,,,,
23850,01083,01,1927.6418525,Limestone County,87255,82,0,2784.6615134,301,1901.1672408,2202.1672408,1983.1672408,2284.1672408,500.49427263,801.49427263,582.49427263,883.49427263,82.02674651,71.217533306,79.08204391,68.272830706,,,,,,,,,,,,,,,,,,
23850,01085,01,331.87062892,Lowndes County,,,1,,,,,,,,,,,,,,,8376.4710159,6755.3103358,1611,1626,8381.3103358,8366.3103358,9992.3103358,-1615.83932,-4.839319881,10.160680119,1621.1606801,119.29021561,100.05777278,99.878699752,80.646256914,23500,23850,
23500,01087,01,1062.9486122,Macon County,20429,97.333333333,0,978.36563223,290,609.49485019,899.49485019,706.82818353,996.82818353,-18.4625513,271.5374487,78.870782038,368.87078204,101.88708093,72.245810793,91.938516702,62.297246562,,,,,,,,,,,,,,,,,,
23850,01089,01,10729.908608,Madison County,343112,1.6666666667,0,14609.525815,1644.6666667,6797.3355599,8442.0022265,6799.0022265,8443.6688932,6165.8569214,7810.523588,6167.523588,7812.1902547,57.795639642,46.538144447,57.78423156,46.526736365,,,,,,,,,,,,,,,,,,
23850,01091,01,1033.9877424,Marengo County,20411,126,0,927.23428042,138.66666667,707.67055774,846.33722441,833.67055774,972.33722441,-45.10294399,93.563722677,80.897056011,219.56372268,104.86424466,89.909376233,91.275445945,76.320577516,,,,,,,,,,,,,,,,,,
23500,01093,01,2036.639412,Marion County,30538,173.33333333,0,1218.9651567,345,1156.74632,1501.74632,1330.0796533,1675.0796533,-456.1144965,-111.1144965,-282.7811632,62.218836792,137.41817344,109.11547766,123.19846155,94.895765769,,,,,,,,,,,,,,,,,,
23850,01095,01,4770.8490037,Marshall County,94365,199,0,3571.4659385,641.33333333,3158.4061358,3799.7394691,3357.4061358,3998.7394691,-427.2735306,214.05980273,-228.2735306,413.05980273,111.96353369,94.006388233,106.39159198,88.434446531,,,,,,,,,,,,,,,,,,
23850,01097,01,15393.163395,Mobile County,413553,250.33333333,0,16634.926941,3625.3333333,7628.6212788,11253.954612,7878.9546121,11504.287945,5130.6389955,8755.9723288,5380.9723288,9006.3056622,69.157429944,47.363926755,67.652564102,45.859060914,,,,,,,,,,,,,,,,,,
23500,01099,01,1349.0080502,Monroe County,22556,88.666666667,0,986.51206913,69.666666667,891.87702116,961.54368782,980.54368782,1050.2103545,-63.69828536,5.9683813051,24.968381305,94.635047972,106.45691901,99.395001694,97.469024243,90.407106924,,,,,,,,,,,,,,,,,,
23850,01101,01,8026.4568642,Montgomery County,229162,0,0,12695.708391,1844.6666667,5366.422128,7211.0887947,5366.422128,7211.0887947,5484.6195963,7329.2862629,5484.6195963,7329.2862629,56.799420502,42.269576165,56.799420502,42.269576165,,,,,,,,,,,,,,,,,,
23850,01103,01,2809.5891003,Morgan County,119953,51,0,3908.8011157,553,2578.575137,3131.575137,2629.575137,3182.575137,726.22597869,1279.2259787,777.22597869,1330.2259787,81.420748787,67.273188356,80.1160009,65.968440468,,,,,,,,,,,,,,,,,,
